Class Name,Class Stereotype,Method Name,Method Stereotype
"MessageBoxPageViewModel","commander boundary","MessageBoxPageViewModel","constructor"
"MessageBoxPageViewModel","commander boundary","Setup","command collaborator"
"MessageBoxPageViewModel","commander boundary","OnViewLoaded","wrapper stateless"
"MessageBoxPageViewModel","commander boundary","ButtonClicked","set collaborator"
"InputBoxViewModel","entity commander boundary","InputBoxViewModel","constructor"
"InputBoxViewModel","entity commander boundary","OnViewLoaded","wrapper"
"InputBoxViewModel","entity commander boundary","TestValidator","predicate set collaborator"
"InputBoxViewModel","entity commander boundary","KeyDown","command collaborator"
"InputBoxViewModel","entity commander boundary","OnKeyUp","command collaborator"
"InputBoxViewModel","entity commander boundary","ButtonClicked","command collaborator"
"MaskLayerContainerScreenBase","commander","OnViewLoaded","command"
"MaskLayerContainerScreenBase","commander","OnClose","command"
"MaskLayerContainerScreenBase","commander","ShowOrHideMask","void-accessor set collaborator"
"MaskLayerContainerScreenBase","commander","OnShowProcessingRing","command collaborator"
"AlternateAddressSwitchingViewModel","entity boundary","AlternateAddressSwitchingViewModel","constructor"
"AlternateAddressSwitchingViewModel","entity boundary","~AlternateAddressSwitchingViewModel","destructor"
"AlternateAddressSwitchingViewModel","entity boundary","StartAutoCloseCounter","command"
"AlternateAddressSwitchingViewModel","entity boundary","get","property non-void-command collaborator"
"AlternateAddressSwitchingViewModel","entity boundary","get","property non-void-command collaborator"
"PingTestItem","empty","PingTestItem","constructor"
"AlternateAddressSwitchingView","entity commander boundary","AlternateAddressSwitchingView","constructor"
"AlternateAddressSwitchingView","entity commander boundary","OnClosed","command collaborator"
"AlternateAddressSwitchingView","entity commander boundary","OnLoaded","command collaborator"
"AlternateAddressSwitchingView","entity commander boundary","GetTopFrom","property non-void-command"
"ExternalSshRunnerSettingsViewModel","empty","ExternalSshRunnerSettingsViewModel","constructor"
"ExternalSshRunnerSettings","empty","ExternalSshRunnerSettings","constructor"
"ExternalRunnerSettingsViewModel","entity boundary","ExternalRunnerSettingsViewModel","constructor"
"ExternalRunnerSettingsViewModel","entity boundary","AutoArguments","command collaborator"
"ExternalRunnerSettingsViewModel","entity boundary","get","property set collaborator"
"ExternalRunnerSettingsViewModel","entity boundary","get","property non-void-command collaborator"
"ExternalRunnerSettingsViewModel","entity boundary","get","property non-void-command collaborator"
"ExternalRunnerSettingsViewModel","entity boundary","get","property wrapper"
"LauncherSettingViewModel","commander boundary","LauncherSettingViewModel","constructor"
"LauncherSettingViewModel","commander boundary","set","non-void-command"
"LauncherSettingViewModel","commander boundary","set","non-void-command collaborator"
"LauncherSettingViewModel","commander boundary","set","non-void-command collaborator"
"LauncherSettingViewModel","commander boundary","get","wrapper stateless"
"LauncherSettingViewModel","commander boundary","set","non-void-command"
"ConverterEnumLogLevel","degenerate small-class","Convert","collaborator incidental"
"ConverterEnumLogLevel","degenerate small-class","ConvertBack","controller stateless"
"SqliteSettingViewModel","entity boundary","SqliteSettingViewModel","constructor"
"SqliteSettingViewModel","entity boundary","OnClose","command"
"SqliteSettingViewModel","entity boundary","ValidateDbStatusAndShowMessageBox","predicate non-void-command collaborator"
"SqliteSettingViewModel","entity boundary","CanSave","predicate wrapper"
"SqliteSettingViewModel","entity boundary","set","wrapper"
"SqliteSettingViewModel","entity boundary","set","set"
"SqliteSettingViewModel","entity boundary","get","property non-void-command collaborator"
"SqliteSettingViewModel","entity boundary","get","property non-void-command collaborator"
"SqliteSettingViewModel","entity boundary","get","property non-void-command collaborator"
"SqliteSettingViewModel","entity boundary","get","property non-void-command"
"ExternalRunnerSettings","empty","ExternalRunnerSettings","constructor"
"MysqlSettingViewModel","entity boundary","MysqlSettingViewModel","constructor"
"MysqlSettingViewModel","entity boundary","OnClose","command"
"MysqlSettingViewModel","entity boundary","CanSave","predicate wrapper"
