Unique Class Stereotype,Class Count
entity minimal-entity boundary,1
commander small-class,1
entity commander boundary,1
commander data-class small-class,1
factory controller small-class,3
commander boundary small-class,4
entity boundary,3
pure-controller degenerate small-class,2
empty,44
unclassified,4
pure-controller small-class,2
pure-controller,4
pure-controller degenerate,1
boundary,3
data-provider boundary small-class,1
commander,1
boundary small-class,1
data-provider boundary,1
small-class,6
entity boundary small-class,4
boundary degenerate,1
commander boundary,1
controller,4
degenerate small-class,1
Total,95
