Class Name,Class Stereotype,Method Name,Method Stereotype
"StreamResponse","commander small-class","StreamResponse","constructor"
"StreamResponse","commander small-class","StreamResponse","constructor"
"StreamResponse","commander small-class","Dispose","command"
"StreamResponse","commander small-class","DisposeAsync","non-void-command collaborator"
"ObjectResponse<T>","empty","ObjectResponse","constructor"
"ObjectResponse<T>","empty","ObjectResponse","constructor"
"HtmlDocumentResponse","empty","HtmlDocumentResponse","constructor"
"HtmlDocumentResponse","empty","HtmlDocumentResponse","constructor"
"BinaryResponse","empty","BinaryResponse","constructor"
"BinaryResponse","empty","BinaryResponse","constructor"
"BasicResponse","empty","BasicResponse","constructor"
"BasicResponse","empty","BasicResponse","copy-constructor"
"ReleaseResponse","boundary","ReleaseResponse","constructor"
"ReleaseResponse","boundary","get","get property set collaborator"
"ReleaseResponse","boundary","get","get property set collaborator"
"ReleaseResponse","boundary","get","get property set collaborator"
"PackageData","empty","PackageData","constructor"
"PackageData","empty","PackageData","constructor"
"GenericDatabase","entity boundary small-class","LoadFromJsonStorage","property non-void-command collaborator"
"ServerRecordEndPoint","empty","ServerRecordEndPoint","constructor"
"ServerRecordEndPoint","empty","ServerRecordEndPoint","constructor"
"Commands","entity boundary","Commands","constructor"
"Commands","entity boundary","FormatBotResponse","wrapper stateless"
"Commands","entity boundary","Response","property non-void-command collaborator"
"Commands","entity boundary","HandleMessage","non-void-command collaborator"
"Commands","entity boundary","HandleMessage","non-void-command collaborator"
"Commands","entity boundary","OnNewLicenseList","command"
"Commands","entity boundary","FetchGamesOwned","property non-void-command factory collaborator"
"Commands","entity boundary","Response2FA","property non-void-command collaborator"
"Commands","entity boundary","Response2FAConfirm","property non-void-command collaborator"
"Commands","entity boundary","ResponseAddLicense","property non-void-command collaborator"
"UserNotificationsCallback","empty","UserNotificationsCallback","constructor"
"UserNotificationsCallback","empty","UserNotificationsCallback","constructor"
"UserNotificationsCallback","empty","UserNotificationsCallback","constructor"
"GlobalDatabase","commander","GlobalDatabase","constructor"
"GlobalDatabase","commander","GlobalDatabase","constructor"
"GlobalDatabase","commander","DeleteFromJsonStorage","wrapper"
"GlobalDatabase","commander","SaveToJsonStorage<T>","wrapper"
"GlobalDatabase","commander","SaveToJsonStorage","wrapper"
"GlobalDatabase","commander","Dispose","command"
"GlobalDatabase","commander","GetPackageIDs","property non-void-command"
"GlobalDatabase","commander","set","set"
"GlobalDatabase","commander","set","set"
"SharedLibraryLockStatusCallback","empty","SharedLibraryLockStatusCallback","constructor"
"BotCredentialsProvider","entity boundary small-class","BotCredentialsProvider","constructor"
"BotCredentialsProvider","entity boundary small-class","AcceptDeviceConfirmationAsync","property non-void-command collaborator"
"BotCredentialsProvider","entity boundary small-class","ProvideInput","property non-void-command collaborator"
"ArchiWebHandler","entity boundary","ArchiWebHandler","constructor"
"ArchiWebHandler","entity boundary","Dispose","command"
"ArchiWebHandler","entity boundary","CancelTradeOffer","wrapper stateless"
"ArchiWebHandler","entity boundary","GetAbsoluteProfileURL","property non-void-command collaborator"
"ArchiWebHandler","entity boundary","GetBoosterCreatorEntries","property non-void-command collaborator"
"ArchiWebHandler","entity boundary","GetBoosterEligibility","property non-void-command collaborator"
"ArchiHandler","entity boundary","ArchiHandler","constructor"
"ArchiHandler","entity boundary","AddFriend","property non-void-command collaborator"
"ArchiHandler","entity boundary","GetClanChatRoomInfo","property non-void-command collaborator"
"ArchiHandler","entity boundary","GetCredentialChangeTimeDetails","property non-void-command collaborator"
"ArchiHandler","entity boundary","GetMyInventoryAsync","property non-void-command factory collaborator"
"TradeOfferSendResponse","empty","TradeOfferSendResponse","constructor"
"TradeOfferAcceptResponse","empty","TradeOfferAcceptResponse","constructor"
"TradeOffer","boundary degenerate small-class","TradeOffer","constructor"
"TradeOffer","boundary degenerate small-class","IsValidSteamItemsRequest","wrapper stateless"
"Tag","empty","Tag","constructor"
"Tag","empty","Tag","constructor"
"RedeemWalletResponse","empty","RedeemWalletResponse","constructor"
"OptionalResultResponse","empty","OptionalResultResponse","constructor"
"ItemAction","empty","ItemAction","constructor"
"ItemAction","empty","ItemAction","constructor"
"InventoryResponse","boundary small-class","InventoryResponse","constructor"
"InventoryResponse","boundary small-class","get","get property set collaborator"
"InventoryDescription","data-provider boundary small-class","get","property wrapper"
"ConfirmationsResponse","empty","ConfirmationsResponse","constructor"
"BooleanResponse","empty","BooleanResponse","constructor"
"Asset","empty","Asset","copy-constructor"
"Asset","empty","Asset","constructor"
"Asset","empty","Asset","constructor"
"Game","empty","Game","constructor"
"WebBrowser","small-class","WebBrowser","constructor"
"WebBrowser","small-class","Dispose","command"
"WebBrowser","small-class","GenerateDisposableHttpClient","controller"
"NLogController","entity small-class","FileGet","wrapper stateless"
"NLogController","entity small-class","Get","property non-void-command factory collaborator"
"RemoteCommunication","commander boundary","RemoteCommunication","constructor"
"RemoteCommunication","commander boundary","Dispose","command"
"RemoteCommunication","commander boundary","DisposeAsync","non-void-command collaborator"
"RemoteCommunication","commander boundary","OnPersonaState","non-void-command collaborator"
"CommandController","pure-controller degenerate small-class","CommandPost","controller stateless"
"CatController","boundary degenerate small-class","CatGet","wrapper stateless"
"ASFController","boundary degenerate","ASFEncryptPost","wrapper stateless"
"ASFController","boundary degenerate","ASFGet","wrapper stateless"
"ASFController","boundary degenerate","ASFHashPost","wrapper stateless"
"ASFController","boundary degenerate","ASFPost","controller stateless"
"GuidJsonConverter","pure-controller degenerate small-class","Read","controller stateless"
"GuidJsonConverter","pure-controller degenerate small-class","Write","controller stateless"
"BooleanNumberConverter","pure-controller degenerate small-class","Write","controller stateless"
"BotConfig","commander small-class","BotConfig","constructor"
"BotConfig","commander small-class","set","non-void-command"
"SerializableFile","commander","Dispose","command"
"SerializableFile","commander","Dispose","command"
"SerializableFile","commander","MakeReadOnly","non-void-command collaborator"
"ArchiCacheable<T>","empty","ArchiCacheable","constructor"
"HealthCheckController","entity boundary small-class","HealthCheckController","constructor"
"HealthCheckController","entity boundary small-class","Get","property non-void-command collaborator"
"ConcurrentList<T>","entity commander boundary","ConcurrentList","constructor"
"ConcurrentList<T>","entity commander boundary","Add","command collaborator"
"ConcurrentList<T>","entity commander boundary","Clear","command"
"ConcurrentList<T>","entity commander boundary","Contains","predicate non-void-command collaborator"
"ConcurrentList<T>","entity commander boundary","CopyTo","command"
"ConcurrentList<T>","entity commander boundary","IndexOf","property non-void-command collaborator"
"ConcurrentList<T>","entity commander boundary","Insert","command collaborator"
"ConcurrentList<T>","entity commander boundary","Remove","predicate non-void-command collaborator"
"ConcurrentList<T>","entity commander boundary","RemoveAt","command"
"ConcurrentList<T>","entity commander boundary","ReplaceWith","command collaborator"
"ConcurrentList<T>","entity commander boundary","get","property non-void-command"
"ConcurrentList<T>","entity commander boundary","get","get non-void-command collaborator"
"ConcurrentList<T>","entity commander boundary","set","set collaborator"
"ConcurrentHashSet<T>","boundary","ConcurrentHashSet","constructor"
"ConcurrentHashSet<T>","boundary","ConcurrentHashSet","constructor"
"ConcurrentHashSet<T>","boundary","ConcurrentHashSet","constructor"
"ConcurrentHashSet<T>","boundary","Add","predicate non-void-command collaborator"
"ConcurrentHashSet<T>","boundary","Clear","command"
"ConcurrentHashSet<T>","boundary","Contains","predicate non-void-command collaborator"
"ConcurrentHashSet<T>","boundary","CopyTo","command"
"ConcurrentHashSet<T>","boundary","ExceptWith","command collaborator"
"ConcurrentHashSet<T>","boundary","IntersectWith","command collaborator"
"ConcurrentHashSet<T>","boundary","IsProperSubsetOf","predicate non-void-command collaborator"
"ConcurrentHashSet<T>","boundary","IsProperSupersetOf","predicate non-void-command collaborator"
"ConcurrentHashSet<T>","boundary","IsSubsetOf","predicate non-void-command collaborator"
"ConcurrentHashSet<T>","boundary","IsSupersetOf","controller stateless"
"ConcurrentHashSet<T>","boundary","Overlaps","controller stateless"
"ConcurrentHashSet<T>","boundary","Remove","predicate non-void-command collaborator"
"ConcurrentHashSet<T>","boundary","SetEquals","controller stateless"
"ConcurrentHashSet<T>","boundary","SymmetricExceptWith","command collaborator"
"ConcurrentHashSet<T>","boundary","UnionWith","command collaborator"
"ConcurrentHashSet<T>","boundary","ICollection<T>.Add","command collaborator"
"ConcurrentHashSet<T>","boundary","AddRange","controller stateless"
"ConcurrentHashSet<T>","boundary","RemoveRange","controller stateless"
"ConcurrentHashSet<T>","boundary","RemoveWhere","property non-void-command collaborator"
"ConcurrentHashSet<T>","boundary","ReplaceIfNeededWith","predicate non-void-command collaborator"
"ConcurrentHashSet<T>","boundary","ReplaceWith","command collaborator"
"SteamSaleEvent","entity boundary small-class","SteamSaleEvent","constructor"
"SteamSaleEvent","entity boundary small-class","ExploreDiscoveryQueue","command collaborator"
"SteamSaleEvent","entity boundary small-class","IsDiscoveryQueueAvailable","property non-void-command collaborator"
"AssetInInventory","empty","AssetInInventory","constructor"
"AssetInInventory","empty","AssetInInventory","constructor"
"APIWrappedResponse<T>","empty","APIWrappedResponse","constructor"
"ASFHashRequest","empty","ASFHashRequest","constructor"
"CrossProcessFileBasedSemaphore","entity commander boundary","CrossProcessFileBasedSemaphore","constructor"
"CrossProcessFileBasedSemaphore","entity commander boundary","Dispose","command"
"CrossProcessFileBasedSemaphore","entity commander boundary","DisposeAsync","non-void-command collaborator"
"CrossProcessFileBasedSemaphore","entity commander boundary","ICrossProcessSemaphore.Release","command"
"CrossProcessFileBasedSemaphore","entity commander boundary","ICrossProcessSemaphore.WaitAsync","non-void-command collaborator"
"CrossProcessFileBasedSemaphore","entity commander boundary","ICrossProcessSemaphore.WaitAsync","property non-void-command collaborator"
"CrossProcessFileBasedSemaphore","entity commander boundary","EnsureFileExists","command collaborator"
"SetPartsRequest","empty","SetPartsRequest","constructor"
"C_Resource","data-provider boundary data-class small-class","GetSize","get collaborator"
"SteamTokenDumperConfig","empty","SteamTokenDumperConfig","constructor"
"BotCache","commander","BotCache","constructor"
"BotCache","commander","Dispose","set"
"BotCache","commander","OnObjectModified","wrapper"
"BotCache","commander","set","set"
"BotCache","commander","set","set"
"BotCache","commander","set","set collaborator"
"FixedSizeConcurrentQueue<T>","commander","FixedSizeConcurrentQueue","constructor"
"FixedSizeConcurrentQueue<T>","commander","Enqueue","command collaborator"
"FixedSizeConcurrentQueue<T>","commander","Resize","command"
"FixedSizeConcurrentQueue<T>","commander","set","set"
"TwoFactorAuthenticationController","pure-controller degenerate","ConfirmationsGet","controller stateless"
"TwoFactorAuthenticationController","pure-controller degenerate","ConfirmationsPost","controller stateless"
"TwoFactorAuthenticationController","pure-controller degenerate","Delete","controller stateless"
"TwoFactorAuthenticationController","pure-controller degenerate","Post","controller stateless"
"TwoFactorAuthenticationController","pure-controller degenerate","TokenGet","controller stateless"
"GlobalConfigExtension","empty","GlobalConfigExtension","constructor"
"ResultResponse","empty","ResultResponse","constructor"
"PeriodicGCPlugin","entity boundary small-class","OnLoaded","property non-void-command collaborator"
"BotAddLicenseRequest","empty","BotAddLicenseRequest","constructor"
"SubmitResponse","empty","SubmitResponse","constructor"
"SwaggerSteamIdentifierAttribute","data-provider boundary small-class","Apply","void-accessor wrapper"
"AssetForListing","empty","AssetForListing","constructor"
"AssetForListing","empty","AssetForListing","constructor"
"ASFEncryptRequest","empty","ASFEncryptRequest","constructor"
"AnnouncementDiffRequest","empty","AnnouncementDiffRequest","constructor"
"LogResponse","empty","LogResponse","constructor"
"SignInWithSteamController","pure-controller degenerate small-class","Post","controller stateless"
"CMsgClientAcknowledgeClanInvite","commander boundary small-class","ISteamSerializable.Deserialize","command collaborator"
"CMsgClientAcknowledgeClanInvite","commander boundary small-class","ISteamSerializable.Serialize","wrapper"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","ObservableConcurrentDictionary","constructor"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","ObservableConcurrentDictionary","constructor"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","ObservableConcurrentDictionary","constructor"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","Add","command collaborator"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","Add","command collaborator"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","Clear","command"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","CopyTo","command"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","Remove","predicate controller"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","Remove","predicate non-void-command collaborator"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","IDictionary<TKey,TValue>.ContainsKey","predicate non-void-command collaborator"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","IReadOnlyDictionary<TKey,TValue>.ContainsKey","predicate non-void-command collaborator"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","IReadOnlyDictionary<TKey,TValue>.TryGetValue","predicate non-void-command collaborator"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","IDictionary<TKey,TValue>.TryGetValue","predicate non-void-command collaborator"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","TryAdd","predicate non-void-command collaborator"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","TryGetValue","predicate non-void-command collaborator"
"ObservableConcurrentDictionary<TKey,TValue>","boundary","set","set collaborator"
"CrashFile","commander data-class small-class","CrashFile","constructor"
"CrashFile","commander data-class small-class","CrashFile","constructor"
"CrashFile","commander data-class small-class","set","set collaborator"
"CrashFile","commander data-class small-class","set","set"
"ExamplePlugin","degenerate","OnASFInit","wrapper stateless"
"ExamplePlugin","degenerate","OnBotCommand","controller stateless"
"ExamplePlugin","degenerate","OnBotInit","controller stateless"
"ExamplePlugin","degenerate","OnBotInitModules","controller stateless"
"ExamplePlugin","degenerate","OnBotMessage","controller stateless"
"ExamplePlugin","degenerate","OnLoaded","wrapper stateless"
"NewDiscoveryQueueResponse","empty","NewDiscoveryQueueResponse","constructor"
"MobileAuthenticatorHandler","entity boundary small-class","MobileAuthenticatorHandler","constructor"
"MobileAuthenticatorHandler","entity boundary small-class","AddAuthenticator","property non-void-command collaborator"
"MobileAuthenticatorHandler","entity boundary small-class","FinalizeAuthenticator","property non-void-command collaborator"
"TypeProperties","empty","TypeProperties","constructor"
"Confirmation","empty","Confirmation","constructor"
"AssetForMatching","empty","AssetForMatching","constructor"
"AssetForMatching","empty","AssetForMatching","constructor"
"CardsFarmer","entity boundary","CardsFarmer","constructor"
"CardsFarmer","entity boundary","Dispose","command"
"CardsFarmer","entity boundary","DisposeAsync","non-void-command collaborator"
"CardsFarmer","entity boundary","OnDisconnected","wrapper"
"CardsFarmer","entity boundary","OnNewGameAdded","non-void-command collaborator"
"CardsFarmer","entity boundary","OnNewItemsNotification","non-void-command collaborator"
"CardsFarmer","entity boundary","Pause","non-void-command collaborator"
"CardsFarmer","entity boundary","Resume","property non-void-command collaborator"
"CardsFarmer","entity boundary","SetInitialState","command"
"CardsFarmer","entity boundary","StartFarming","non-void-command collaborator"
"CardsFarmer","entity boundary","StopFarming","non-void-command collaborator"
"CardsFarmer","entity boundary","CheckGame","non-void-command collaborator"
"CardsFarmer","entity boundary","CheckGamesForFarming","command collaborator"
"CardsFarmer","entity boundary","CheckPage","non-void-command collaborator"
"CardsFarmer","entity boundary","CheckPage","property non-void-command collaborator"
"CardsFarmer","entity boundary","Farm","non-void-command collaborator"
"CardsFarmer","entity boundary","FarmCards","property non-void-command collaborator"
"CardsFarmer","entity boundary","FarmHours","property non-void-command collaborator"
"CardsFarmer","entity boundary","FarmMultiple","property non-void-command collaborator"
"CardsFarmer","entity boundary","FarmSolo","property non-void-command collaborator"
"CardsFarmer","entity boundary","GetGameCardsInfo","property non-void-command factory collaborator"
