Unique Method Stereotype,Method Count
get property set collaborator,1
get property factory collaborator,1
factory wrapper,1
get property non-void-command factory collaborator,2
stateless,8
property factory collaborator,3
collaborator stateless,52
get property set factory collaborator,3
get factory collaborator,1
get wrapper,2
property factory wrapper,12
predicate,4
non-void-command,2
non-void-command collaborator,3
predicate wrapper,8
controller stateless,2261
factory stateless,1
get property non-void-command collaborator,2
get,9
collaborator incidental,34
get non-void-command collaborator,1
property wrapper,19
predicate non-void-command,8
property controller,6
property non-void-command collaborator,195
set collaborator,19
factory collaborator stateless,13
get set,7
wrapper,14
get collaborator,34
command collaborator,172
factory controller,1
empty,89
command,15
factory collaborator incidental,1
property set,2
get property controller,1
constructor,549
set,9
wrapper stateless,1134
property factory controller,2
property collaborator,2
property non-void-command factory collaborator,67
property non-void-command,43
copy-constructor,1
predicate non-void-command collaborator,70
incidental,18
controller,38
get controller,1
factory controller stateless,36
non-void-command factory collaborator,6
predicate controller,3
get factory wrapper,7
predicate collaborator,2
factory wrapper stateless,46
Total,5041
