Class Name,Class Stereotype,Method Name,Method Stereotype
"ProgressBar","commander","ProgressBar","constructor",
"ProgressBar","commander","Report","wrapper",
"ProgressBar","commander","Report","wrapper",
"ProgressBar","commander","SpeedTimerHandler","command collaborator",
"ProgressBar","commander","TimerHandler","command collaborator",
"ProgressBar","commander","UpdateText","set",
"ProgressBar","commander","ResetTimer","command",
"ProgressBar","commander","ResetSpeedTimer","command",
"ProgressBar","commander","Dispose","set",
"SeriesListFetcher","factory pure-controller degenerate small-class","FetchAsync","factory controller stateless",
"NormalInfoFetcher","factory pure-controller degenerate small-class","FetchAsync","factory controller stateless",
"MediaListFetcher","factory pure-controller degenerate small-class","FetchAsync","factory controller stateless",
"IntlBangumiInfoFetcher","factory pure-controller degenerate small-class","FetchAsync","factory controller stateless",
"CheeseInfoFetcher","factory pure-controller degenerate small-class","FetchAsync","factory controller stateless",
"BangumiInfoFetcher","factory pure-controller degenerate small-class","FetchAsync","factory controller stateless",
"BilibiliBvConverter","empty","BilibiliBvConverter","constructor",
"ConsoleQRCode","boundary degenerate small-class","ConsoleQRCode","constructor",
"ConsoleQRCode","boundary degenerate small-class","ConsoleQRCode","constructor",
"ConsoleQRCode","boundary degenerate small-class","GetGraphic","collaborator incidental",
"SpaceVideoFetcher","pure-controller degenerate small-class","FetchAsync","controller stateless",
"FetcherFactory","empty","FetcherFactory","constructor",
"FavListFetcher","entity factory controller small-class","FetchAsync","property non-void-command factory collaborator",
"BBDownApiServer","commander boundary","SetUpServer","command collaborator",
"BBDownApiServer","commander boundary","Run","command",
"BBDownApiServer","commander boundary","AddDownloadTaskAsync","non-void-command collaborator",
