Unique Class Stereotype,Class Count
commander lazy-class small-class,1
commander data-class,1
data-provider boundary,2
entity minimal-entity boundary,1
controller degenerate,2
factory small-class,1
entity factory controller,1
entity data-provider boundary,1
data-class,3
data-provider boundary data-class small-class,2
commander degenerate,2
factory degenerate small-class,4
pure-controller,3
commander boundary degenerate,2
data-provider small-class,3
data-provider boundary lazy-class degenerate,1
boundary data-class small-class,3
data-class small-class,1
entity boundary,10
small-class,28
entity boundary small-class,19
commander data-class small-class,3
boundary small-class,15
unclassified,25
controller small-class,8
boundary degenerate,19
commander boundary,14
data-provider boundary small-class,11
boundary degenerate small-class,67
factory pure-controller small-class,1
pure-controller degenerate small-class,42
entity commander boundary,3
degenerate small-class,72
commander boundary small-class,6
pure-controller small-class,20
degenerate,28
boundary,12
pure-controller degenerate,7
factory controller small-class,13
controller,5
factory pure-controller degenerate small-class,5
entity factory controller small-class,8
entity boundary degenerate,1
commander boundary data-class small-class,2
commander small-class,17
factory controller,1
empty,600
commander,11
entity small-class,5
data-provider,3
controller data-class small-class,2
Total,1117
