Unique Method Stereotype,Method Count
property non-void-command factory collaborator,3
predicate,1
factory wrapper,1
predicate non-void-command collaborator,1
property wrapper,1
get property non-void-command,2
property factory collaborator,1
command,8
non-void-command collaborator,63
command collaborator,14
controller,11
wrapper stateless,19
constructor,70
property set,1
property controller,3
controller stateless,32
get collaborator,1
get property collaborator,1
incidental,2
collaborator incidental,4
get property,1
property non-void-command,8
copy-constructor,17
non-void-command factory collaborator,4
property non-void-command collaborator,56
set collaborator,2
Total,327
