Unique Class Stereotype,Class Count
commander boundary lazy-class,1
entity data-provider boundary,2
boundary data-class small-class,1
entity factory controller small-class,1
entity data-provider boundary small-class,1
entity minimal-entity boundary,1
factory controller small-class,1
degenerate small-class,14
commander boundary small-class,85
boundary degenerate small-class,20
pure-controller degenerate,19
data-class small-class,1
entity boundary,34
pure-controller,8
degenerate,12
boundary,29
pure-controller small-class,5
commander boundary,67
boundary degenerate,17
controller,3
entity commander boundary,43
pure-controller degenerate small-class,22
entity small-class,1
empty,635
commander,49
data-provider boundary small-class,8
commander boundary lazy-class degenerate,3
commander lazy-class,5
commander boundary degenerate,1
commander data-class small-class,3
boundary small-class,2
factory degenerate,5
unclassified,11
controller small-class,5
data-provider boundary,1
controller degenerate,5
boundary lazy-class degenerate,3
entity boundary lazy-class degenerate,1
entity boundary small-class,20
small-class,15
commander boundary data-class small-class,3
commander small-class,18
Total,1181
