Unique Method Stereotype,Method Count
property set,1
predicate collaborator,1
wrapper,9
factory collaborator stateless,1
controller stateless,6
void-accessor command collaborator,5
wrapper stateless,31
empty,1
command,10
unclassified,1
get property set,1
command collaborator,48
constructor,12
set,2
property collaborator,3
property non-void-command,1
stateless,1
get set collaborator,3
get collaborator,3
property wrapper,31
predicate non-void-command,1
set collaborator,7
property non-void-command collaborator,3
non-void-command collaborator,5
predicate wrapper,1
controller,1
collaborator incidental,2
get,2
get property non-void-command collaborator,1
get predicate set,1
Total,195
