Unique Method Stereotype,Method Count
get property factory collaborator,3
predicate collaborator,2
predicate set collaborator,2
get non-void-command factory collaborator,4
property set,1
get property set,2
property set collaborator,11
predicate wrapper,13
get set collaborator,27
incidental,144
factory collaborator,2
controller,21
copy-constructor,4
get collaborator,388
collaborator stateless,27
get,363
collaborator incidental,191
get property non-void-command collaborator,2
get command collaborator,2
property factory wrapper,4
command,206
set,435
constructor,405
property non-void-command factory collaborator,13
property non-void-command,25
get non-void-command collaborator,12
property wrapper,607
property controller,10
property non-void-command collaborator,203
wrapper stateless,241
property collaborator,25
stateless,11
controller stateless,80
non-void-command factory collaborator,24
predicate controller,3
get factory collaborator,5
get set,9
predicate non-void-command collaborator,85
wrapper,116
factory collaborator stateless,21
destructor,2
get property non-void-command factory collaborator,2
unclassified,7
factory collaborator incidental,1
empty,63
get property controller,1
factory controller,18
set collaborator,442
non-void-command,37
void-accessor command collaborator,98
property factory collaborator,3
void-accessor wrapper,3
predicate non-void-command,10
factory controller stateless,17
void-accessor command,14
predicate,86
non-void-command collaborator,39
get non-void-command,3
get property wrapper,5
get property,1
get property collaborator,6
void-accessor set collaborator,9
get property non-void-command,1
factory wrapper stateless,6
set factory collaborator,1
collaborator,9
property factory controller,5
void-accessor controller,7
get set factory collaborator,5
command collaborator,466
property,44
get wrapper,1
property set factory collaborator,1
Total,5162
