Unique Class Stereotype,Class Count
data-provider boundary,2
boundary degenerate,9
entity boundary degenerate,1
commander small-class,4
small-class,9
entity boundary small-class,11
controller small-class,3
unclassified,6
empty,217
pure-controller degenerate,15
entity boundary,12
boundary small-class,1
commander data-class small-class,1
boundary degenerate small-class,47
pure-controller small-class,2
boundary,7
degenerate,11
degenerate small-class,1
commander boundary,6
pure-controller degenerate small-class,70
entity commander boundary,7
entity boundary data-class small-class,1
factory small-class,1
controller,1
factory pure-controller degenerate small-class,2
factory degenerate small-class,8
data-provider boundary degenerate,1
data-provider small-class,1
entity data-provider boundary,1
commander boundary small-class,4
entity minimal-entity boundary,2
data-provider boundary small-class,3
pure-controller,2
Total,469
