Unique Method Stereotype,Method Count
get wrapper,6
get collaborator,4
get set collaborator,5
collaborator stateless,4
get set,1
wrapper,4
get property non-void-command collaborator,1
collaborator incidental,6
non-void-command collaborator,5
command,4
command collaborator,87
property wrapper,25
get non-void-command collaborator,18
factory wrapper stateless,6
wrapper stateless,114
constructor,132
set,1
factory controller stateless,17
controller stateless,307
set collaborator,3
property non-void-command collaborator,35
property controller,5
factory collaborator stateless,2
property,1
property non-void-command,3
property non-void-command factory collaborator,7
property factory,1
copy-constructor,13
controller,6
incidental,20
predicate non-void-command collaborator,1
void-accessor command,1
property factory collaborator,1
void-accessor command collaborator,4
get non-void-command factory collaborator,2
predicate,1
empty,38
factory controller,2
Total,893
