Unique Method Stereotype,Method Count
factory wrapper,1
get property factory,1
get property wrapper,2
property set factory collaborator,1
get property,2
get property non-void-command factory collaborator,5
destructor,2
get set collaborator,18
get,26
collaborator incidental,10
get property non-void-command collaborator,16
property wrapper,31
get non-void-command collaborator,403
void-accessor collaborator,2
copy-constructor,12
incidental,16
property factory,2
void-accessor wrapper,1
predicate non-void-command,64
property non-void-command,197
property non-void-command factory collaborator,28
predicate set,6
property collaborator,15
stateless,13
property set collaborator,28
get controller,6
get collaborator,23
predicate collaborator,5
get predicate,2
factory wrapper stateless,5
factory collaborator stateless,5
predicate non-void-command collaborator,83
wrapper,37
get set,20
wrapper stateless,108
constructor,832
set,69
void-accessor set collaborator,3
get property non-void-command,28
get property collaborator,3
collaborator stateless,21
collaborator,2
set factory collaborator,5
property non-void-command collaborator,464
property controller,35
property,17
command collaborator,535
property factory wrapper,6
command,323
empty,41
get property controller,2
factory controller,13
controller stateless,440
non-void-command factory collaborator,16
get property non-void-command factory,1
predicate controller,5
predicate wrapper,11
get non-void-command,23
non-void-command collaborator,15
property factory collaborator,1
set collaborator,55
non-void-command,11
predicate,11
predicate set collaborator,3
factory controller stateless,3
void-accessor command,2
void-accessor command collaborator,5
unclassified,14
controller,106
factory collaborator,3
get property set collaborator,3
get set factory collaborator,1
property factory controller,13
get wrapper,22
property set,14
get property factory wrapper,3
get property set,3
Total,4379
