Unique Class Stereotype,Class Count
pure-controller degenerate small-class,3
degenerate small-class,2
pure-controller small-class,1
entity boundary,6
controller degenerate,1
unclassified,5
empty,185
boundary data-class small-class,1
entity commander boundary degenerate,1
small-class,6
entity boundary small-class,1
commander lazy-class,1
commander,5
commander boundary small-class,7
commander lazy-class small-class,1
commander boundary,21
commander small-class,6
boundary,6
entity factory controller,1
data-provider boundary,2
controller small-class,1
boundary small-class,4
entity commander boundary,7
commander lazy-class degenerate,1
boundary degenerate small-class,2
data-provider small-class,3
Total,280
