Class Name,Class Stereotype,Method Name,Method Stereotype
"Database","entity commander boundary","Store<T>","command collaborator"
"Database","entity commander boundary","Get<T>","wrapper stateless"
"Database","entity commander boundary","Store<T>","void-accessor set collaborator"
"Database","entity commander boundary","Store<T>","command collaborator"
"Database","entity commander boundary","Get<T>","wrapper stateless"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","MixedShoppingCart","constructor"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","AddProduct","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","RemoveProduct","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","HasEnough","predicate non-void-command collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","Confirm","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","Cancel","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","MixedShoppingCart","constructor"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","AddProduct","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","RemoveProduct","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","HasEnough","predicate non-void-command collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","Confirm","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","Cancel","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","MixedShoppingCart","constructor"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","AddProduct","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","RemoveProduct","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","HasEnough","predicate non-void-command collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","Confirm","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","Cancel","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","MixedShoppingCart","constructor"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","AddProduct","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","RemoveProduct","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","HasEnough","predicate non-void-command collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","Confirm","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"MixedShoppingCart","entity commander boundary","Cancel","non-void-command factory collaborator"
"MixedShoppingCart","entity commander boundary","Apply","command collaborator"
"NotFoundException","empty","NotFoundException","constructor"
"NotFoundException","empty","NotFoundException","constructor"
"NotFoundException","empty","NotFoundException","constructor"
