Unique Method Stereotype,Method Count
get property set,1
factory collaborator stateless,5
factory controller stateless,3
factory wrapper stateless,28
property controller,1
set collaborator,48
property non-void-command collaborator,49
non-void-command factory collaborator,48
predicate non-void-command,1
command,4
empty,36
constructor,184
set,4
get set,1
wrapper,3
controller stateless,81
void-accessor set collaborator,1
wrapper stateless,34
command collaborator,393
property wrapper,1
get non-void-command collaborator,7
property set collaborator,4
stateless,2
get set collaborator,4
non-void-command collaborator,33
collaborator stateless,4
property factory collaborator,16
collaborator incidental,31
get,8
property non-void-command factory collaborator,14
predicate set,2
predicate non-void-command collaborator,22
copy-constructor,5
controller,8
Total,1086
