Unique Method Stereotype,Method Count
predicate set,3
get wrapper,2
get property factory collaborator,1
get property factory wrapper,2
property set,6
property set factory,1
property factory,2
destructor,4
get set,17
get property set collaborator,1
get set collaborator,39
predicate controller,22
property factory collaborator,118
incidental,285
non-void-command factory collaborator,28
controller stateless,437
property set collaborator,39
collaborator incidental,108
get,166
get property non-void-command collaborator,5
controller,366
factory collaborator,9
unclassified,13
get property non-void-command factory collaborator,3
property non-void-command collaborator,662
non-void-command,3
set collaborator,314
property controller,39
void-accessor wrapper,2
predicate non-void-command,68
predicate wrapper,32
get non-void-command,6
non-void-command collaborator,1088
predicate,61
predicate non-void-command collaborator,189
wrapper,1030
factory collaborator stateless,49
get collaborator,135
collaborator stateless,183
void-accessor command collaborator,33
copy-constructor,53
void-accessor collaborator,3
command collaborator,3070
property,74
wrapper stateless,604
constructor,1293
set,296
property wrapper,160
get non-void-command collaborator,43
empty,157
get property controller,1
factory controller,9
stateless,65
property collaborator,46
property non-void-command factory collaborator,164
property non-void-command,80
set factory collaborator,1
collaborator,9
command,2046
property factory wrapper,43
void-accessor,3
predicate collaborator,13
factory wrapper stateless,41
void-accessor command,3
factory controller stateless,72
factory collaborator incidental,20
property set factory collaborator,10
void-accessor controller,6
property factory controller,21
get set factory collaborator,4
predicate set collaborator,4
get property wrapper,1
get property collaborator,1
void-accessor set collaborator,1
get property,2
factory wrapper,10
Total,14000
