Unique Class Stereotype,Class Count
data-provider data-class small-class,1
entity small-class,2
commander small-class,2
factory degenerate small-class,1
commander boundary small-class,5
boundary small-class,1
commander boundary data-class,1
data-provider boundary,1
degenerate small-class,2
pure-controller degenerate small-class,8
entity boundary,9
data-provider boundary small-class,1
commander,7
empty,161
unclassified,8
entity commander boundary,2
boundary degenerate small-class,4
small-class,21
entity boundary small-class,11
controller,1
boundary degenerate,2
commander boundary,9
boundary,6
pure-controller degenerate,14
lazy-class,2
degenerate,18
Total,300
