Unique Method Stereotype,Method Count
controller stateless,2
wrapper,6
get property,2
property set collaborator,1
factory wrapper,1
property factory controller,1
property factory collaborator,4
property wrapper,6
get collaborator,54
set,53
constructor,140
collaborator incidental,2
get,134
empty,14
command,87
predicate non-void-command,28
predicate controller,1
non-void-command factory collaborator,4
predicate wrapper,2
command collaborator,57
property controller,3
property non-void-command collaborator,131
set collaborator,13
property,10
void-accessor command,1
void-accessor command collaborator,7
property non-void-command,45
property non-void-command factory collaborator,3
property collaborator,4
predicate,6
void-accessor wrapper,6
wrapper stateless,28
factory collaborator,6
predicate non-void-command collaborator,37
incidental,17
copy-constructor,2
controller,13
Total,931
