Class Name,Class Stereotype,Method Name,Method Stereotype
"StatsWindow","boundary degenerate small-class","StatsWindow","constructor"
"StatsWindow","boundary degenerate small-class","BtnSwitchToMainWindow_OnClick","wrapper stateless"
"StatsWindow","boundary degenerate small-class","OnClosing","wrapper stateless"
"SplashScreenWindow","boundary","SplashScreenWindow","constructor"
"SplashScreenWindow","boundary","ShowConditional","wrapper stateless"
"SplashScreenWindow","boundary","Updating","unclassified"
"SplashScreenWindow","boundary","Installing","unclassified"
"SplashScreenWindow","boundary","OnPropertyChanged","wrapper"
"SplashScreenWindow","boundary","SkipBorder_OnMouseDown","set collaborator"
"SplashScreenWindow","boundary","StartSkipTimer","wrapper stateless"
"SplashScreenWindow","boundary","get","get"
"SplashScreenWindow","boundary","set","set"
"SplashScreenWindow","boundary","get","get"
"SplashScreenWindow","boundary","set","set"
"SplashScreenWindow","boundary","get","get collaborator"
"SplashScreenWindow","boundary","set","set collaborator"
"SplashScreenWindow","boundary","get","get collaborator"
"SplashScreenWindow","boundary","set","set collaborator"
"PlayerWindow","empty","PlayerWindow","constructor"
"OverlayWindow","commander boundary","EnableBatteryMonitor","command"
"OverlayWindow","commander boundary","DisableBatteryMonitor","command"
"OverlayWindow","commander boundary","BatteryMonitorOnPropertyChanged","wrapper"
"OverlayWindow","commander boundary","UpdateBatteryStatus","wrapper stateless"
"OverlayWindow","commander boundary","UpdatePlayerLayout","wrapper stateless"
"OverlayWindow","commander boundary","UpdateOpponentLayout","wrapper stateless"
"OverlayWindow","commander boundary","SetWinRates","controller"
"OverlayWindow","commander boundary","SetOpponentCardCount","controller"
"OverlayWindow","commander boundary","SetCardCount","controller"
"OverlayWindow","commander boundary","UpdatePlayerCards","wrapper stateless"
"OverlayWindow","commander boundary","InitializeCollections","command"
"OverlayWindow","commander boundary","MouseInputOnLmbUp","command collaborator"
"OverlayWindow","commander boundary","MouseInputOnMouseMoved","set collaborator"
"OverlayWindow","commander boundary","MouseInputOnLmbDown","command collaborator"
"OverlayWindow","commander boundary","UnlockUi","get non-void-command collaborator"
"OverlayWindow","commander boundary","TrySetResizeGripHeight","incidental"
"OverlayWindow","commander boundary","GetUiElementSize","property factory collaborator"
"OverlayWindow","commander boundary","HookMouse","command"
"OverlayWindow","commander boundary","UnHookMouse","set"
"OverlayWindow","commander boundary","GrayOutSecrets","command collaborator"
"OverlayWindow","commander boundary","HideCardsWhenFriendsListOpen","command collaborator"
"OverlayWindow","commander boundary","UpdateMouseOverDetectionRegions","command collaborator"
"OverlayWindow","commander boundary","PositionDeadForText","wrapper"
"OverlayWindow","commander boundary","GetCardAngle","wrapper stateless"
"OverlayWindow","commander boundary","AddCardDebugOverlay","void-accessor command collaborator"
"OverlayWindow","commander boundary","GetCursorPos","factory wrapper stateless"
"OverlayWindow","commander boundary","ShowMercHover","command collaborator"
"OverlayWindow","commander boundary","ClearMercHover","wrapper stateless"
"OverlayWindow","commander boundary","UpdateAbilitesVisibility","controller"
"OverlayWindow","commander boundary","ClearAbilitesVisibility","collaborator"
"OverlayWindow","commander boundary","DetectMouseOver","command collaborator"
"OverlayWindow","commander boundary","SetHoveredBattlegroundsLeaderboardEntityId","set"
"OverlayWindow","commander boundary","UpdateBattlegroundsOverlay","command collaborator"
"OverlayWindow","commander boundary","ShowBobsBuddyPanelDelayed","command"
"OverlayWindow","commander boundary","GetPlayerCardPosition","property non-void-command factory collaborator"
"OverlayWindow","commander boundary","GetCardSpacing","collaborator incidental"
"OverlayWindow","commander boundary","UpdateInteractiveElements","command collaborator"
"OverlayWindow","commander boundary","RunHoverUpdates","set"
"OverlayWindow","commander boundary","UpdateHoverable","command collaborator"
"OverlayWindow","commander boundary","EllipseContains","controller stateless"
"OverlayWindow","commander boundary","RotatedRectContains","controller stateless"
"OverlayWindow","commander boundary","ElementContains","predicate non-void-command collaborator"
"OverlayWindow","commander boundary","GetScaleTransform","wrapper stateless"
"OverlayWindow","commander boundary","get","property factory collaborator"
"OverlayWindow","commander boundary","UpdateCardTooltip","command collaborator"
"OverlayWindow","commander boundary","GetListViewOffset","collaborator incidental"
"OverlayWindow","commander boundary","SetTooltipPosition","wrapper stateless"
"OverlayWindow","commander boundary","SetFlavorTextEntity","wrapper stateless"
"OverlayWindow","commander boundary","get","property wrapper"
"OverlayWindow","commander boundary","set","set"
"OverlayWindow","commander boundary","get","get"
"OverlayWindow","commander boundary","set","set"
"OverlayWindow","commander boundary","get","get collaborator"
"OverlayWindow","commander boundary","set","set collaborator"
"OverlayWindow","commander boundary","SetTopmost","wrapper"
"OverlayWindow","commander boundary","OnHearthstoneFocused","command"
"OverlayWindow","commander boundary","Update","command collaborator"
"OverlayWindow","commander boundary","UpdateIcons","command collaborator"
"OverlayWindow","commander boundary","UpdatePosition","command"
"OverlayWindow","commander boundary","UpdateTurnTimer","wrapper"
"OverlayWindow","commander boundary","UpdateScaling","stateless"
"OverlayWindow","commander boundary","UpdateBoardPosition","wrapper"
"OverlayWindow","commander boundary","UpdateElementPositions","command collaborator"
"OverlayWindow","commander boundary","UpdateElementSizes","set collaborator"
"OverlayWindow","commander boundary","ApplyAutoScaling","command collaborator"
"OverlayWindow","commander boundary","UpdateStackPanelAlignment","wrapper stateless"
"OverlayWindow","commander boundary","UpdateCardFrames","wrapper stateless"
"OverlayWindow","commander boundary","UpdateVisibilities","command"
"OverlayWindow","commander boundary","UpdateBattlegroundsSessionVisibility","wrapper"
"OverlayWindow","commander boundary","UpdateTier7PreLobbyVisibility","wrapper"
"OverlayWindow","commander boundary","UpdateMulliganGuidePreLobbyVisibility","command collaborator"
"OverlayWindow","commander boundary","GetBoardHoverTargets","property set collaborator"
"OverlayWindow","commander boundary","OverlayWindow","constructor"
"OpponentWindow","empty","OpponentWindow","constructor"
"MainWindowMenuViewModel","commander boundary small-class","set","non-void-command collaborator"
"MainWindowMenuView","boundary degenerate small-class","MainWindowMenuView","constructor"
"MainWindowMenuView","boundary degenerate small-class","Plugins_OnSubmenuOpened","wrapper stateless"
"MainWindowMenuView","boundary degenerate small-class","Deck_OnSubmenuOpened","wrapper stateless"
"MatchupData","data-provider boundary small-class","MatchupData","constructor"
"MatchupData","data-provider boundary small-class","GetValue","property wrapper"
"HsReplayDeckInfoView","empty","HsReplayDeckInfoView","constructor"
"DeckChartsViewModel","commander","DeckChartsViewModel","constructor"
"DeckChartsViewModel","commander","Update","command collaborator"
"DeckChartsViewModel","commander","set","non-void-command collaborator"
"DeckChartsViewModel","commander","set","set collaborator"
"DeckChartsViewModel","commander","set","set"
"DeckChartsViewModel","commander","set","set"
"DeckChartsViewModel","commander","set","set"
"DeckChartsViewModel","commander","set","set"
"DeckChartsViewModel","commander","set","set"
"DeckChartsView","empty","DeckChartsView","constructor"
"CollectionSyncingBannerView","commander small-class","CollectionSyncingBannerView","constructor"
"CollectionSyncingBannerView","commander small-class","OnPropertyChanged","wrapper"
"CollectionSyncingBannerView","commander small-class","Update","command"
"ImportingChoiceDialog","commander boundary small-class","ImportingChoiceDialog","constructor"
"ImportingChoiceDialog","commander boundary small-class","CloseDialog","command collaborator"
"DiscardGameDialog","commander boundary data-class","DiscardGameDialog","constructor"
"DiscardGameDialog","commander boundary data-class","BtnDiscard_Click","set collaborator"
"DiscardGameDialog","commander boundary data-class","BtnKeep_Click","set collaborator"
"DiscardGameDialog","commander boundary data-class","BtnMoveToOther_Click","set collaborator"
"DeckSelectionDialog","commander boundary data-class small-class","DeckSelectionDialog","constructor"
"DeckSelectionDialog","commander boundary data-class small-class","ListViewDecks_OnSelectionChanged","set collaborator"
"DebugWindow","commander boundary","DebugWindow","constructor"
"DebugWindow","commander boundary","Update","command"
"DebugWindow","commander boundary","UpdateCards","command collaborator"
"DebugWindow","commander boundary","UpdateBoardDamage","wrapper stateless"
"DebugWindow","commander boundary","FilterEntities","set collaborator"
"DebugWindow","commander boundary","GetTagKeyValue","controller stateless"
"DebugWindow","commander boundary","FilterGame","set collaborator"
"DebugWindow","commander boundary","OnItemCollapsed","command collaborator"
"DebugWindow","commander boundary","OnItemExpanded","command collaborator"
"DebugWindow","commander boundary","ExpandAllBtn_Click","collaborator incidental"
"DebugWindow","commander boundary","CollapseAllBtn_Click","collaborator incidental"
