Class Name,Class Stereotype,Method Name,Method Stereotype
"FrmShare","commander small-class","Dispose","command",
"FrmShare","commander small-class","InitializeComponent","command collaborator",
"frmFirstLaunch","commander small-class","Dispose","command",
"frmFirstLaunch","commander small-class","InitializeComponent","command collaborator",
"frmSetting","commander small-class","Dispose","command",
"frmSetting","commander small-class","InitializeComponent","command collaborator",
"frmMain","commander small-class","Dispose","command",
"frmMain","commander small-class","InitializeComponent","command collaborator",
"frmEditApp","commander small-class","Dispose","command",
"frmEditApp","commander small-class","InitializeComponent","command",
"frmAbout","commander small-class","Dispose","command",
"frmAbout","commander small-class","InitializeComponent","command collaborator",
"frmPageNav","commander small-class","Dispose","command",
"frmPageNav","commander small-class","InitializeComponent","command",
"frmCrop","commander small-class","Dispose","command",
"frmCrop","commander small-class","InitializeComponent","command",
"UnsafeNativeMethods","empty","UnsafeNativeMethods","constructor",
"ThemeImage","commander small-class","ThemeImage","constructor",
"ThemeImage","commander small-class","ThemeImage","constructor",
"ThemeImage","commander small-class","Refresh","command",
"Theme","unclassified","ReloadIcons","command collaborator",
"Theme","unclassified","LoadTheme","get predicate non-void-command collaborator",
"Theme","unclassified","SaveAsThemeConfigs","controller",
"ModernMenuRenderer","boundary","ModernMenuRenderer","constructor",
"ModernMenuRenderer","boundary","OnRenderItemText","void-accessor command collaborator",
"ModernMenuRenderer","boundary","OnRenderSeparator","void-accessor command collaborator",
"ModernMenuRenderer","boundary","OnRenderToolStripBackground","void-accessor command collaborator",
"ModernMenuRenderer","boundary","OnRenderArrow","void-accessor command collaborator",
"ModernMenuRenderer","boundary","OnRenderItemCheck","void-accessor controller",
"ModernMenuRenderer","boundary","OnRenderMenuItemBackground","void-accessor command collaborator",
"ModernMenuRenderer","boundary","OnRenderToolStripBorder","void-accessor command collaborator",
"NakedTabControl","entity boundary small-class","NakedTabControl","constructor",
"NakedTabControl","entity boundary small-class","WndProc","void-accessor command collaborator",
"frmDialogBox","commander small-class","Dispose","command",
"frmDialogBox","commander small-class","InitializeComponent","command",
"FileDownloader","data-class small-class","DownloadFile","predicate set",
"FileDownloader","data-class small-class","DownloadFileWithProgressAsync","property set collaborator",
"AnimatedImgFrame","commander small-class","Dispose","command",
"AnimatedImgFrame","commander small-class","Dispose","command",
"AnimatedImgFrame","commander small-class","~AnimatedImgFrame","destructor",
"AnimatedImgFrame","commander small-class","AnimatedImgFrame","constructor",
"AnimatedImgFrame","commander small-class","AnimatedImgFrame","constructor",
"ColorChangedEventArgs","empty","ColorChangedEventArgs","constructor",
"ColorChangedEventArgs","empty","ColorChangedEventArgs","constructor",
"RgbColorSlider","entity boundary","RgbColorSlider","constructor",
"RgbColorSlider","entity boundary","OnPaint","command collaborator",
"RgbColorSlider","entity boundary","OnValueChanged","command collaborator",
"RgbColorSlider","entity boundary","SetColorValue","command collaborator",
"RgbColorSlider","entity boundary","GetSliderValueFromColor","property wrapper",
"RgbColorSlider","entity boundary","SetColorMode","collaborator",
"RgbColorSlider","entity boundary","GetColorFromSliderValue","property wrapper",
"GestureListener","entity boundary","GestureListener","constructor",
"GestureListener","entity boundary","GestureListener","constructor",
"GestureListener","entity boundary","Initialize","wrapper",
"GestureListener","entity boundary","OnHandleCreated","command collaborator",
"GestureListener","entity boundary","OnHandleDestroyed","wrapper stateless",
"GestureListener","entity boundary","WndProc","command collaborator",
"GestureListener","entity boundary","OnPan","predicate set collaborator",
"GestureListener","entity boundary","OnPressAndTap","wrapper stateless",
"GestureListener","entity boundary","OnRotate","predicate set collaborator",
"GestureListener","entity boundary","OnTwoFingerTap","wrapper stateless",
"GestureListener","entity boundary","OnZoom","predicate set collaborator",
"ColorHexagon","entity boundary","ColorHexagon","constructor",
"ColorHexagon","entity boundary","OnMouseDown","set collaborator",
"ColorHexagon","entity boundary","OnMouseLeave","command collaborator",
"ColorHexagon","entity boundary","OnMouseMove","command collaborator",
"ColorHexagon","entity boundary","OnPaint","command collaborator",
"ColorHexagon","entity boundary","OnResize","command collaborator",
"ColorHexagon","entity boundary","DrawHexagonHighlighter","set collaborator",
"ColorHexagon","entity boundary","GetHexagonIndexFromCoordinates","property wrapper",
"ColorHexagon","entity boundary","InitializeGrayscaleHexagons","void-accessor wrapper",
"ColorHexagon","entity boundary","InitializeHexagons","command collaborator",
"ColorHexagon","entity boundary","get","get property collaborator",
"ColorHexagonElement","small-class","Paint","void-accessor controller",
"ColorHexagonElement","small-class","SetHexagonPoints","command collaborator",
"ColumnEventArgs","empty","ColumnEventArgs","constructor",
"ReverseWindowsDirectoryNaturalSort","boundary degenerate small-class","Compare","wrapper stateless",
"ColorBox2D","commander boundary","ColorBox2D","constructor",
"ColorBox2D","commander boundary","OnMouseDown","collaborator",
"ColorBox2D","commander boundary","OnMouseMove","command collaborator",
"ColorBox2D","commander boundary","OnMouseUp","set collaborator",
"ColorBox2D","commander boundary","OnPaint","command collaborator",
"ColorBox2D","commander boundary","DrawMarker","void-accessor controller",
"ColorBox2D","commander boundary","GetColor","property wrapper",
"ColorBox2D","commander boundary","ResetMarker","command",
"ColorBox2D","commander boundary","SetMarker","command",
"ColorBox2D","commander boundary","get","factory wrapper stateless",
"ColorBox2D","commander boundary","set","set",
"ColorBox2D","commander boundary","set","set collaborator",
"ColorBox2D","commander boundary","set","non-void-command collaborator",
"ColorBox2D","commander boundary","set","non-void-command collaborator",
"Animation","commander boundary","ExtractFramesAsync","non-void-command collaborator",
"Animation","commander boundary","AnimateImage","set",
"Animation","commander boundary","SaveFrames","command collaborator",
"WebForm","commander small-class","Dispose","command",
"WebForm","commander small-class","InitializeComponent","set",
"CacheErrorEventArgs","empty","CacheErrorEventArgs","constructor",
"ModernThumbnailRenderer","entity boundary small-class","ModernThumbnailRenderer","constructor",
"ModernThumbnailRenderer","entity boundary small-class","MeasureItem","property non-void-command collaborator",
"ModernThumbnailRenderer","entity boundary small-class","DrawItem","void-accessor command collaborator",
"DictionaryEntryComparer","entity boundary small-class","DictionaryEntryComparer","constructor",
"DictionaryEntryComparer","entity boundary small-class","Compare","property non-void-command collaborator",
"ThemedForm","commander boundary","ThemedForm","constructor",
"ThemedForm","commander boundary","Config_RequestUpdatingColorMode","command collaborator",
"ThemedForm","commander boundary","Config_RequestUpdatingTheme","command collaborator",
"ThemedForm","commander boundary","Config_RequestUpdatingLanguage","command",
"ThemedForm","commander boundary","OnRequestUpdatingColorMode","wrapper stateless",
"ThemedForm","commander boundary","OnRequestUpdatingTheme","wrapper stateless",
"ThemedForm","commander boundary","OnRequestUpdatingLanguage","wrapper stateless",
"ThemedForm","commander boundary","OnFormClosing","command collaborator",
"DefaultRenderer","empty","DefaultRenderer","constructor",
"ImgTransform","commander","Clear","command",
"ImgTransform","commander","set","set collaborator",
"ImgTransform","commander","set","set",
"ModernColorPicker","commander small-class","Dispose","command",
"ModernColorPicker","commander small-class","InitializeComponent","command",
