Unique Class Stereotype,Class Count
entity data-provider small-class,1
factory degenerate small-class,2
entity minimal-entity boundary,1
data-provider boundary lazy-class degenerate,1
data-class,1
controller data-class small-class,1
controller degenerate,2
data-provider boundary data-class small-class,2
data-provider small-class,5
entity data-provider boundary,6
entity factory controller small-class,5
entity factory controller,1
data-provider boundary,7
commander degenerate,1
lazy-class,1
factory controller data-class small-class,4
data-provider boundary small-class,19
small-class,49
entity boundary small-class,41
degenerate small-class,27
pure-controller,6
commander boundary,40
factory pure-controller degenerate small-class,2
controller,4
boundary degenerate,57
boundary degenerate small-class,42
entity small-class,4
commander,53
empty,662
factory controller,2
pure-controller degenerate,23
degenerate,57
pure-controller small-class,59
boundary,40
entity boundary data-class,1
factory controller small-class,16
data-provider lazy-class small-class,1
commander data-class,1
entity,5
commander data-class small-class,8
boundary small-class,19
unclassified,81
controller small-class,14
commander boundary data-class small-class,2
commander small-class,93
entity commander boundary,7
pure-controller degenerate small-class,40
commander boundary small-class,26
data-provider,1
commander boundary degenerate,2
data-class small-class,3
entity boundary,39
boundary data-class small-class,15
Total,1602
