Unique Method Stereotype,Method Count
get wrapper,3
void-accessor command,1
get set factory collaborator,1
get property set collaborator,1
property non-void-command factory,1
predicate collaborator,1
property set factory collaborator,3
factory wrapper,2
property factory wrapper,4
non-void-command factory collaborator,2
property factory controller,1
factory stateless,2
get non-void-command,3
property set collaborator,2
destructor,8
predicate,4
get property non-void-command,1
property factory,1
property,3
get collaborator,11
get set collaborator,3
get controller,1
factory controller stateless,2
controller stateless,27
get,24
collaborator incidental,42
set,13
constructor,130
set factory collaborator,1
collaborator stateless,2
void-accessor command collaborator,9
wrapper stateless,90
predicate wrapper,2
non-void-command collaborator,12
property controller,5
property non-void-command collaborator,27
set collaborator,12
command collaborator,50
factory,1
property wrapper,9
get non-void-command collaborator,2
collaborator,5
wrapper,5
get set,1
non-void-command factory,1
unclassified,3
command,11
empty,13
void-accessor set,1
non-void-command,5
property factory collaborator,3
property collaborator,3
property non-void-command,4
predicate set,1
property non-void-command factory collaborator,2
incidental,17
predicate non-void-command collaborator,6
controller,9
copy-constructor,9
Total,618
