Class Name,Class Stereotype,Method Name,Method Stereotype
"StepLineSeriesTest","pure-controller degenerate","ShouldScale","controller stateless"
"StepLineSeriesTest","pure-controller degenerate","ShouldPlaceToolTipsCorrectly","controller stateless"
"StepLineSeriesTest","pure-controller degenerate","ShouldPlaceDataLabel","controller stateless"
"StackedAreaSeriesTest","pure-controller degenerate small-class","ShouldScale","controller stateless"
"StackedAreaSeriesTest","pure-controller degenerate small-class","ShouldPlaceDataLabel","controller stateless"
"PieSeriesTest","pure-controller degenerate","ShouldScale","controller stateless"
"PieSeriesTest","pure-controller degenerate","ShouldPlaceToolTips","controller stateless"
"PieSeriesTest","pure-controller degenerate","ShouldPlaceDataLabel","controller stateless"
"LineSeriesTest","pure-controller degenerate","ShouldScale","controller stateless"
"LineSeriesTest","pure-controller degenerate","ShouldPlaceToolTips","controller stateless"
"LineSeriesTest","pure-controller degenerate","ShouldPlaceDataLabel","controller stateless"
"FinancialSeriesTest","pure-controller degenerate","ShouldScale","controller stateless"
"FinancialSeriesTest","pure-controller degenerate","ShouldPlaceToolTips","controller stateless"
"FinancialSeriesTest","pure-controller degenerate","ShouldPlaceDataLabel","controller stateless"
"ColumnSeriesTest","pure-controller degenerate","ShouldScale","controller stateless"
"ColumnSeriesTest","pure-controller degenerate","ShouldPlaceToolTips","controller stateless"
"ColumnSeriesTest","pure-controller degenerate","ShouldPlaceDataLabel","controller stateless"
"LabelsMeasureTest","degenerate small-class","BasicCase","controller stateless"
"LabelsMeasureTest","degenerate small-class","MultiLine","collaborator stateless"
"DrawMarginAndLegendsTests","pure-controller degenerate","CartesianBasicCase","controller stateless"
"DrawMarginAndLegendsTests","pure-controller degenerate","CartesianWithTitleCase","controller stateless"
"DrawMarginAndLegendsTests","pure-controller degenerate","PieBasicCase","controller stateless"
"DrawMarginAndLegendsTests","pure-controller degenerate","PieWithTitleCase","controller stateless"
"DrawMarginAndLegendsTests","pure-controller degenerate","PolarBasicCase","controller stateless"
"DrawMarginAndLegendsTests","pure-controller degenerate","PolarWithTitleCase","controller stateless"
"TestLabel","empty","TestLabel","constructor"
"PropertyChangedObject","commander small-class","OnPropertyChanged","wrapper"
"PropertyChangedObject","commander small-class","set","set"
"TableLayoutTest","pure-controller degenerate","TableStart","controller stateless"
"TableLayoutTest","pure-controller degenerate","TableStartFirstEmpty","controller stateless"
"TableLayoutTest","pure-controller degenerate","TableStartSomeEmpty","controller stateless"
"TableLayoutTest","pure-controller degenerate","TableMiddle","controller stateless"
