Unique Class Stereotype,Class Count
data-provider boundary lazy-class degenerate,1
data-provider boundary,1
entity factory controller small-class,1
entity factory controller,1
lazy-class degenerate,2
commander boundary data-class,1
commander boundary lazy-class small-class,1
commander boundary lazy-class degenerate,1
data-provider boundary degenerate,1
controller,10
entity data-provider boundary,2
entity,38
factory controller small-class,9
pure-controller,3
data-provider boundary small-class,6
factory controller data-class small-class,1
small-class,7
entity boundary small-class,13
boundary degenerate,30
commander boundary,13
commander lazy-class small-class,1
degenerate small-class,15
commander boundary small-class,15
commander data-class small-class,1
data-provider data-class,2
boundary small-class,5
pure-controller degenerate,111
commander boundary degenerate,2
boundary degenerate small-class,41
factory pure-controller small-class,1
pure-controller degenerate small-class,13
entity commander boundary,7
controller small-class,2
unclassified,19
empty,332
commander,9
pure-controller small-class,4
boundary,8
degenerate,54
commander boundary data-class small-class,1
commander small-class,7
entity boundary degenerate,2
boundary data-class small-class,2
minimal-entity commander boundary,1
data-provider boundary data-class,1
entity boundary,28
controller degenerate,2
boundary lazy-class degenerate,2
Total,830
