Unique Class Stereotype,Class Count
data-provider boundary,1
commander boundary degenerate,1
data-provider small-class,1
commander boundary,4
controller,3
boundary data-class,1
minimal-entity boundary,1
boundary data-class small-class,8
entity boundary small-class,5
small-class,6
entity commander boundary,1
factory pure-controller small-class,1
data-provider,1
data-provider data-class small-class,1
boundary degenerate small-class,11
degenerate small-class,4
commander data-class small-class,1
boundary small-class,3
unclassified,9
controller small-class,1
data-provider boundary data-class small-class,3
boundary degenerate,11
factory controller small-class,19
boundary,11
degenerate,4
pure-controller small-class,5
data-provider boundary small-class,2
factory controller data-class small-class,1
controller lazy-class small-class,1
entity boundary,9
factory pure-controller degenerate,2
commander boundary data-class small-class,2
commander small-class,3
controller lazy-class data-class small-class,1
data-provider boundary data-class,1
entity data-provider boundary,2
entity factory controller small-class,4
empty,480
commander,4
commander boundary small-class,7
Total,636
