Unique Method Stereotype,Method Count
property,1
property non-void-command,2
wrapper,1
set collaborator,1
property wrapper,3
constructor,41
property non-void-command factory collaborator,2
factory collaborator incidental,1
non-void-command collaborator,17
property non-void-command collaborator,30
get non-void-command collaborator,14
command collaborator,3
command,26
empty,1
controller stateless,84
property controller,3
wrapper stateless,14
collaborator stateless,9
collaborator incidental,4
Total,257
