Unique Class Stereotype,Class Count
boundary data-class,1
controller,4
entity data-provider boundary,7
lazy-class,1
boundary data-class small-class,3
data-provider small-class,9
controller degenerate,1
small-class,48
entity boundary small-class,35
data-class small-class,1
entity boundary,27
pure-controller,3
pure-controller degenerate,81
degenerate,53
pure-controller small-class,3
boundary,16
commander boundary,8
boundary degenerate,33
entity boundary degenerate,1
commander boundary data-class small-class,1
commander small-class,7
commander boundary small-class,4
data-provider boundary small-class,3
boundary degenerate small-class,35
pure-controller degenerate small-class,66
entity commander boundary,4
unclassified,17
controller small-class,20
data-provider boundary,3
degenerate small-class,38
factory controller,1
commander,9
empty,297
entity small-class,34
commander data-class,1
entity,29
data-provider data-class,1
boundary small-class,3
commander data-class small-class,1
commander boundary degenerate,2
factory controller small-class,1
Total,912
