Class Name,Class Stereotype,Method Name,Method Stereotype
"RenderLoopFix","empty","~RenderLoopFix","destructor",
"ContentScrollViewer","commander boundary","ContentScrollViewer","constructor",
"ContentScrollViewer","commander boundary","ContentScrollViewer","constructor",
"ContentScrollViewer","commander boundary","OnQueryScrollCommand","collaborator incidental",
"ContentScrollViewer","commander boundary","OnPreviewMouseWheel","command collaborator",
"ContentScrollViewer","commander boundary","OnScrollCommand","command collaborator",
"ContentScrollViewer","commander boundary","ScrollContent","wrapper",
"App","boundary degenerate small-class","App","constructor",
"App","boundary degenerate small-class","App_Startup","wrapper stateless",
"UIManager","commander boundary","Initialize","command",
"UIManager","commander boundary","OnFlyoutBackgroundOpacityChanged","command",
"UIManager","commander boundary","OnTrayIconEnabledChanged","wrapper",
"UIManager","commander boundary","OnUseColoredTrayIconChanged","command",
"UIManager","commander boundary","OnFadeAnimationEnabledChanged","unclassified",
"UIManager","commander boundary","OnSystemThemeChanged","set collaborator",
"UIManager","commander boundary","UpdateAppTheme","unclassified",
"UIManager","commander boundary","UpdateTheme","command",
"UIManager","commander boundary","UpdateFlyoutBackgroundOpacity","controller",
"UIManager","commander boundary","UpdateTrayIcon","wrapper",
"UIManager","commander boundary","OnMaxVerticalSessionControlsCount","command",
"UIManager","commander boundary","OnSessionsPanelOrientation","command",
"UIManager","commander boundary","UpdateCalculatedSessionsPanelMaxHeight","command collaborator",
"UIManager","commander boundary","set","wrapper",
"UIManager","commander boundary","set","non-void-command collaborator",
"UIManager","commander boundary","set","non-void-command collaborator",
"UIManager","commander boundary","set","wrapper",
"UIManager","commander boundary","set","non-void-command",
"UIManager","commander boundary","set","non-void-command",
"UIManager","commander boundary","set","non-void-command",
"UIManager","commander boundary","set","non-void-command",
"UIManager","commander boundary","set","wrapper",
"UIManager","commander boundary","set","wrapper",
"UIManager","commander boundary","set","wrapper",
"UIManager","commander boundary","set","wrapper",
"UIManager","commander boundary","set","wrapper",
"UIManager","commander boundary","set","wrapper",
"UIManager","commander boundary","set","wrapper",
"UIManager","commander boundary","set","non-void-command collaborator",
"UIManager","commander boundary","set","non-void-command",
"VolumeControl","empty","VolumeControl","constructor",
"BrightnessController","commander","BrightnessController","constructor",
"BrightnessController","commander","UpdateBrightness","wrapper",
"BrightnessController","commander","Dispose","empty",
"BrightnessController","commander","~BrightnessController","destructor",
"BrightnessController","commander","Dispose","command",
"BrightnessController","commander","set","wrapper",
"FlyoutWindow","commander boundary","OpenFlyout","set collaborator",
"FlyoutWindow","commander boundary","CloseFlyout","command collaborator",
"FlyoutWindow","commander boundary","SetupCloseTimer","command collaborator",
"FlyoutWindow","commander boundary","StartCloseTimer","wrapper",
"FlyoutWindow","commander boundary","StopCloseTimer","wrapper",
"FlyoutWindow","commander boundary","UpdateCloseTimerInterval","collaborator",
"FlyoutWindow","commander boundary","PrepareAnimations","unclassified",
"FlyoutWindow","commander boundary","EnsureOpeningStoryboard","command collaborator",
"FlyoutWindow","commander boundary","EnsureClosingStoryboard","command collaborator",
"FlyoutWindow","commander boundary","PlayOpenAnimation","command",
"FlyoutWindow","commander boundary","PlayCloseAnimation","command",
"FlyoutWindow","commander boundary","UpdateAnimations","command collaborator",
"SessionsPanel","empty","SessionsPanel","constructor",
"DebounceDispatcher","commander boundary small-class","DebounceDispatcher","constructor",
"DebounceDispatcher","commander boundary small-class","Timer_Tick","command collaborator",
"DebounceDispatcher","commander boundary small-class","Debounce","command collaborator",
"UiTask","entity boundary small-class","GetAwaiter","property non-void-command collaborator",
"WINDOWPLACEMENT","boundary degenerate small-class","get","wrapper stateless",
"NowPlayingMediaSessionManager","commander boundary","OnEnabled","command",
"NowPlayingMediaSessionManager","commander boundary","NpsmService_Started","command collaborator",
"NowPlayingMediaSessionManager","commander boundary","OnNpsmServiceStarted","non-void-command collaborator",
"NowPlayingMediaSessionManager","commander boundary","NPSessionsChanged","command collaborator",
"NowPlayingMediaSessionManager","commander boundary","NPSessionsChangedUI","non-void-command collaborator",
"NowPlayingMediaSessionManager","commander boundary","OnSessionsChanged","command collaborator",
"NowPlayingMediaSessionManager","commander boundary","ClearSessions","non-void-command collaborator",
"NowPlayingMediaSessionManager","commander boundary","LoadSessions","non-void-command collaborator",
"NowPlayingMediaSessionManager","commander boundary","OnDisabled","command",
"NowPlayingMediaSessionManager","commander boundary","CleanupNPSM","non-void-command collaborator",
"BrightnessWatcher","commander","BrightnessWatcher","constructor",
