Unique Method Stereotype,Method Count
get property factory wrapper,1
get property factory collaborator,1
get non-void-command factory collaborator,1
get property set factory collaborator,1
predicate set collaborator,1
predicate set,1
get set,1
factory collaborator incidental,5
factory wrapper stateless,9
factory collaborator stateless,24
property factory collaborator,24
get property non-void-command collaborator,15
collaborator incidental,372
get,37
property wrapper,60
get non-void-command collaborator,7
predicate,22
get property wrapper,2
collaborator,19
command,246
empty,57
set,109
void-accessor set collaborator,8
get property collaborator,3
constructor,555
factory controller,3
get property controller,1
property non-void-command collaborator,173
property controller,8
predicate wrapper,9
get non-void-command,2
non-void-command collaborator,22
get wrapper,6
incidental,40
wrapper,122
predicate non-void-command collaborator,37
get collaborator,31
wrapper stateless,351
predicate non-void-command,18
void-accessor wrapper,1
void-accessor command collaborator,33
copy-constructor,8
void-accessor collaborator,2
property non-void-command factory collaborator,22
property non-void-command,39
collaborator stateless,76
factory wrapper,1
command collaborator,572
property,15
property set factory collaborator,6
property collaborator,32
stateless,26
property set collaborator,9
destructor,10
void-accessor,5
predicate collaborator,4
controller,31
factory collaborator,2
unclassified,3
property set,3
set collaborator,162
non-void-command,6
controller stateless,225
non-void-command factory collaborator,8
predicate controller,2
factory controller stateless,12
void-accessor command,4
get set factory collaborator,11
property factory controller,10
get property set collaborator,2
Total,3746
