Unique Method Stereotype,Method Count
get property factory wrapper,1
property set factory collaborator,1
predicate wrapper,12
predicate set collaborator,4
property non-void-command collaborator,271
property controller,8
void-accessor command collaborator,7
controller,35
incidental,10
void-accessor collaborator,1
copy-constructor,11
property non-void-command factory collaborator,6
property non-void-command,7
predicate set,3
property set collaborator,29
property collaborator,14
stateless,1
predicate non-void-command collaborator,20
wrapper,28
get set,5
wrapper stateless,140
non-void-command collaborator,666
get non-void-command,2
get property wrapper,5
predicate controller,5
get predicate wrapper,1
predicate non-void-command,13
property wrapper,36
get non-void-command collaborator,12
constructor,267
set,104
void-accessor set collaborator,2
get property collaborator,3
empty,26
get property controller,1
factory controller,2
non-void-command factory collaborator,4
controller stateless,603
get set collaborator,21
get wrapper,2
collaborator incidental,34
get property non-void-command collaborator,7
get,5
command collaborator,595
property,7
factory controller stateless,14
get property,2
predicate,23
get collaborator,3
property set,3
predicate collaborator,3
get predicate,1
factory wrapper stateless,1
set collaborator,84
non-void-command,12
command,151
property factory wrapper,3
factory collaborator stateless,1
property factory controller,2
get set factory collaborator,2
void-accessor controller,1
property non-void-command factory,1
collaborator stateless,2
Total,3346
