Unique Method Stereotype,Method Count
get set,3
predicate set collaborator,1
void-accessor set,1
property set factory collaborator,1
predicate controller,6
get property wrapper,1
property wrapper,22
get non-void-command collaborator,27
get,25
collaborator incidental,368
get property non-void-command collaborator,1
void-accessor set collaborator,11
get property collaborator,5
set,90
incidental,49
copy-constructor,4
controller,35
property non-void-command,15
predicate set,2
property non-void-command factory collaborator,18
factory wrapper stateless,18
predicate collaborator,2
property non-void-command collaborator,379
property controller,22
factory collaborator stateless,92
predicate non-void-command collaborator,57
wrapper,81
non-void-command factory collaborator,23
controller stateless,253
factory collaborator incidental,8
wrapper stateless,302
constructor,1237
empty,160
factory controller,2
void-accessor command collaborator,57
non-void-command collaborator,63
predicate wrapper,11
get controller,1
get collaborator,130
predicate non-void-command,14
property factory collaborator,14
property collaborator,35
stateless,6
property set collaborator,4
command,531
property factory wrapper,6
get set collaborator,36
command collaborator,713
property,3
collaborator stateless,20
get property,1
set factory collaborator,4
collaborator,6
factory controller stateless,9
void-accessor command,4
destructor,12
get non-void-command factory collaborator,2
property factory controller,4
void-accessor controller,4
get set factory collaborator,2
factory wrapper,1
set collaborator,214
non-void-command,3
unclassified,2
get wrapper,6
predicate,6
Total,5245
