Unique Method Stereotype,Method Count
predicate non-void-command,6
factory wrapper stateless,2
property factory collaborator,3
get non-void-command factory collaborator,1
non-void-command,3
get property,1
property set collaborator,3
factory wrapper,1
property,78
controller stateless,328
wrapper,16
factory collaborator stateless,7
predicate controller,1
non-void-command factory collaborator,6
get non-void-command collaborator,1
property wrapper,17
predicate,81
void-accessor set collaborator,1
empty,19
command,12
command collaborator,56
get collaborator,10
set,166
constructor,142
wrapper stateless,87
get property non-void-command collaborator,1
get,8
collaborator incidental,12
factory collaborator,1
factory collaborator incidental,5
factory controller stateless,1
void-accessor collaborator,1
void-accessor command collaborator,4
collaborator stateless,3
controller,11
predicate non-void-command collaborator,27
incidental,5
copy-constructor,12
property non-void-command,10
property collaborator,20
property non-void-command factory collaborator,10
property controller,7
property non-void-command collaborator,66
set collaborator,29
predicate wrapper,1
non-void-command collaborator,63
Total,1345
