Class Name,Class Stereotype,Method Name,Method Stereotype
"ThreadSafeStore<TKey,TValue>","entity boundary small-class","ThreadSafeStore","constructor"
"ThreadSafeStore<TKey,TValue>","entity boundary small-class","Get","property non-void-command collaborator"
"ThreadSafeStore<TKey,TValue>","entity boundary small-class","AddValue","property non-void-command collaborator"
"StructMultiKey<T1,T2>","entity boundary","StructMultiKey","constructor"
"StructMultiKey<T1,T2>","entity boundary","GetHashCode","property non-void-command"
"StructMultiKey<T1,T2>","entity boundary","Equals","predicate non-void-command collaborator"
"StructMultiKey<T1,T2>","entity boundary","Equals","predicate wrapper"
"StringReference","data-provider small-class","StringReference","constructor"
"StringReference","data-provider small-class","ToString","property"
"StringBuffer","commander","StringBuffer","constructor"
"StringBuffer","commander","StringBuffer","constructor"
"StringBuffer","commander","Append","set"
"StringBuffer","commander","Append","set"
"StringBuffer","commander","Clear","command collaborator"
"StringBuffer","commander","EnsureSize","set"
"StringBuffer","commander","ToString","property non-void-command"
"StringBuffer","commander","ToString","property"
"ReflectionObject","data-provider boundary","ReflectionObject","constructor"
"ReflectionObject","data-provider boundary","GetValue","property wrapper"
"ReflectionObject","data-provider boundary","SetValue","wrapper"
"ReflectionObject","data-provider boundary","GetType","get collaborator"
"ReflectionDelegateFactory","entity boundary small-class","CreateGet<T>","property non-void-command collaborator"
"ReflectionDelegateFactory","entity boundary small-class","CreateSet<T>","property non-void-command collaborator"
"OrderedEnumerable<T,K>","entity boundary","OrderedEnumerable","constructor"
"OrderedEnumerable<T,K>","entity boundary","OrderedEnumerable","constructor"
"OrderedEnumerable<T,K>","entity boundary","CreateOrderedEnumerable<KK>","property factory collaborator"
"OrderedEnumerable<T,K>","entity boundary","GetEnumerator","property non-void-command collaborator"
"OrderedEnumerable<T,K>","entity boundary","IEnumerable.GetEnumerator","property non-void-command collaborator"
"ExpressionReflectionDelegateFactory","degenerate","CreateParameterizedConstructor","property non-void-command collaborator"
"ExpressionReflectionDelegateFactory","degenerate","CreateMethodCall<T>","property non-void-command collaborator"
"ExpressionReflectionDelegateFactory","degenerate","BuildMethodCall","property non-void-command collaborator"
"ExpressionReflectionDelegateFactory","degenerate","CreateDefaultConstructor<T>","controller stateless"
"ExpressionReflectionDelegateFactory","degenerate","CreateGet<T>","controller stateless"
"ExpressionReflectionDelegateFactory","degenerate","CreateGet<T>","wrapper stateless"
"ExpressionReflectionDelegateFactory","degenerate","CreateSet<T>","controller stateless"
"ExpressionReflectionDelegateFactory","degenerate","CreateSet<T>","controller stateless"
"ExpressionReflectionDelegateFactory","degenerate","EnsureCastExpression","controller stateless"
"EnumInfo","empty","EnumInfo","constructor"
"NoThrowSetBinderMember","factory controller small-class","NoThrowSetBinderMember","constructor"
"NoThrowSetBinderMember","factory controller small-class","FallbackSetMember","non-void-command factory collaborator"
"LateBoundReflectionDelegateFactory","pure-controller degenerate","CreateParameterizedConstructor","controller stateless"
"LateBoundReflectionDelegateFactory","pure-controller degenerate","CreateMethodCall<T>","controller stateless"
"LateBoundReflectionDelegateFactory","pure-controller degenerate","CreateDefaultConstructor<T>","controller stateless"
"LateBoundReflectionDelegateFactory","pure-controller degenerate","CreateGet<T>","controller stateless"
"LateBoundReflectionDelegateFactory","pure-controller degenerate","CreateGet<T>","controller stateless"
