Unique Method Stereotype,Method Count
predicate set,1
factory collaborator incidental,5
get,9
collaborator incidental,31
get property non-void-command collaborator,1
wrapper stateless,90
copy-constructor,2
incidental,16
property non-void-command,13
property collaborator,8
property non-void-command factory collaborator,4
property wrapper,3
get property set factory collaborator,1
collaborator stateless,5
get non-void-command factory collaborator,19
set,35
constructor,102
property,5
command collaborator,159
non-void-command,3
set collaborator,43
property non-void-command collaborator,22
property controller,3
get non-void-command,1
non-void-command collaborator,15
predicate wrapper,2
controller stateless,19
non-void-command factory collaborator,4
predicate controller,4
predicate non-void-command collaborator,10
wrapper,27
void-accessor command collaborator,44
command,58
property factory wrapper,1
void-accessor command,6
factory controller stateless,1
get property wrapper,2
void-accessor wrapper,2
predicate non-void-command,3
get property collaborator,1
void-accessor set collaborator,4
get property non-void-command,2
set factory collaborator,1
collaborator,4
predicate,2
get property controller,1
factory controller,3
empty,2
void-accessor,2
predicate collaborator,2
factory wrapper stateless,2
controller,6
factory collaborator,1
unclassified,2
get property set collaborator,2
get set collaborator,1
property set collaborator,1
property set factory collaborator,1
get set factory collaborator,2
void-accessor controller,3
property factory controller,2
factory collaborator stateless,3
Total,829
