Unique Method Stereotype,Method Count
property factory wrapper,1
get collaborator,10
predicate,2
get non-void-command,1
factory collaborator stateless,3
factory collaborator incidental,3
property factory controller,2
get property non-void-command factory collaborator,2
get wrapper,4
predicate collaborator,1
factory wrapper stateless,12
void-accessor command collaborator,2
wrapper,41
get set,63
get,1
collaborator incidental,8
set,200
constructor,459
property set collaborator,9
stateless,2
property set factory collaborator,5
predicate controller,4
non-void-command factory collaborator,15
predicate non-void-command,3
non-void-command collaborator,90
command collaborator,916
property wrapper,7
get non-void-command collaborator,10
property non-void-command,2
property collaborator,2
property non-void-command factory collaborator,52
command,617
empty,25
collaborator stateless,25
set factory collaborator,1
wrapper stateless,68
controller stateless,49
property non-void-command collaborator,56
set collaborator,144
property controller,4
get set collaborator,28
factory controller stateless,22
property factory collaborator,15
predicate non-void-command collaborator,6
copy-constructor,24
controller,24
incidental,41
Total,3081
