Unique Method Stereotype,Method Count
get collaborator,3
property set collaborator,1
property,1
get property set collaborator,2
get set collaborator,6
property factory controller,2
wrapper,3
factory controller stateless,1
property factory collaborator,5
predicate non-void-command,6
get property wrapper,1
void-accessor command collaborator,2
non-void-command factory collaborator,2
predicate controller,4
get non-void-command collaborator,4
property wrapper,20
copy-constructor,5
incidental,9
predicate non-void-command collaborator,13
controller,4
property factory wrapper,8
constructor,110
get property collaborator,3
set,7
command,7
predicate,2
controller stateless,15
set collaborator,1
property non-void-command collaborator,115
property controller,24
void-accessor wrapper,2
wrapper stateless,61
command collaborator,5
predicate set,1
property non-void-command,9
property collaborator,13
property non-void-command factory collaborator,12
predicate wrapper,1
non-void-command collaborator,5
empty,4
factory controller,2
factory collaborator stateless,1
factory wrapper stateless,2
predicate collaborator,1
collaborator incidental,19
get property non-void-command collaborator,8
get property non-void-command,3
Total,535
