Class Name,Class Stereotype,Method Name,Method Stereotype
"WorkflowManagerTests","pure-controller degenerate small-class","CanExecuteSimpleWorkflow","controller stateless",
"AddTask","entity boundary small-class","AddTask","copy-constructor",
"AddTask","entity boundary small-class","GetPossibleOutcomes","property wrapper",
"AddTask","entity boundary small-class","ExecuteAsync","property non-void-command collaborator",
"StubPoFileLocationProvider","entity boundary small-class","StubPoFileLocationProvider","constructor",
"StubPoFileLocationProvider","entity boundary small-class","GetLocations","property non-void-command collaborator",
"ShellHostTests","empty","ShellHostTests","constructor",
"ScriptFunctionsTest","boundary degenerate small-class","TheScriptingEngineShouldBeAbleToHandleJsonObject","wrapper stateless",
"StubAutorouteEntries","empty","StubAutorouteEntries","constructor",
"RecipeEventHandler","boundary data-class small-class","RecipeStepExecutedAsync","property set collaborator",
"DefaultUserClaimsPrincipalProviderFactoryTests","pure-controller degenerate small-class","EnsurePrincipalHasExpectedClaims","controller stateless",
"PoweredByMiddlewareTests","pure-controller degenerate small-class","InjectPoweredByHeader","controller stateless",
"PoweredByMiddlewareTests","pure-controller degenerate small-class","DoNotInjectPoweredByHeaderIfDisabled","controller stateless",
"FakeHttpMessageHandler","entity boundary small-class","Send","collaborator stateless",
"FakeHttpMessageHandler","entity boundary small-class","SendAsync","property non-void-command collaborator",
"ApiControllerTests","entity commander boundary","CallCreateApiMultipleTimes_ShouldCreateTenant_ReturnsSetupToken","non-void-command collaborator",
"ApiControllerTests","entity commander boundary","ShouldGetNewTenantSetupToken_WhenThePreviousTokenExpired","non-void-command collaborator",
"ApiControllerTests","entity commander boundary","CreateController","property non-void-command factory collaborator",
"LocaleShortcodeTests","pure-controller degenerate small-class","ShouldProcess","controller stateless",
"RolesPermissionsHandlerTests","pure-controller degenerate","GrantsRolesPermissions","controller stateless",
"RolesPermissionsHandlerTests","pure-controller degenerate","DontRevokeExistingGrants","controller stateless",
"RolesPermissionsHandlerTests","pure-controller degenerate","GrantsInheritedPermissions","controller stateless",
"RolesPermissionsHandlerTests","pure-controller degenerate","IsCaseIsensitive","controller stateless",
"SubResourceIntegrityTests","pure-controller degenerate small-class","SavedSubResourceIntegritiesShouldMatchCurrentResources","controller stateless",
"OpenIdApplicationStepTests","commander boundary","OpenIdApplicationCanBeParsed","non-void-command collaborator",
"OpenIdApplicationStepTests","commander boundary","OpenIdApplicationCanBeUpdated","non-void-command collaborator",
"OpenIdApplicationStepTests","commander boundary","GetRecipeFileContent","wrapper stateless",
"ApplicationControllerTests","pure-controller degenerate small-class","UsersShouldNotBeAbleToCreateIfNotAllowed","controller stateless",
"ApplicationControllerTests","pure-controller degenerate small-class","UsersShouldBeAbleToCreateApplicationIfAllowed","controller stateless",
"MediaEventTests","pure-controller degenerate small-class","DisposesMediaCreatingStreams","controller stateless",
"AssetUrlShortcodeTests","pure-controller degenerate small-class","ShouldProcess","controller stateless",
"AssetUrlShortcodeTests","pure-controller degenerate small-class","ShouldSanitizeUnprocessed","controller stateless",
"MarkdownTests","pure-controller degenerate small-class","ShouldConfigureMarkdownPipeline","controller stateless",
"MarkdownTests","pure-controller degenerate small-class","ShouldReconfigureMarkdownPipeline","controller stateless",
"EmailTaskTests","pure-controller small-class","ExecuteTask_WhenToAndCcAndBccAreNotSet_ShouldFail","controller",
"RssFeedTests","pure-controller degenerate small-class","AvoidDoubleEncodeCDATA","controller stateless",
"RssFeedTests","pure-controller degenerate small-class","ShouldOnlyHtmlEntityEscapeFeedTitle","controller stateless",
"DateTimeRangeTests","boundary degenerate small-class","DateParserTests","wrapper stateless",
"PortableObjectStringLocalizerTests","boundary","PortableObjectStringLocalizerTests","constructor",
"PortableObjectStringLocalizerTests","boundary","LocalizerReturnsTranslationsFromProvidedDictionary","wrapper",
"PortableObjectStringLocalizerTests","boundary","LocalizerReturnsOriginalTextIfTranslationsDoesntExistInProvidedDictionary","wrapper",
"PortableObjectStringLocalizerTests","boundary","LocalizerReturnsOriginalTextIfDictionaryIsEmpty","wrapper",
"PortableObjectStringLocalizerTests","boundary","LocalizerFallbacksToParentCultureIfTranslationDoesntExistInSpecificCulture","wrapper",
"PortableObjectStringLocalizerTests","boundary","LocalizerReturnsTranslationFromSpecificCultureIfItExists","wrapper",
"PortableObjectStringLocalizerTests","boundary","LocalizerReturnsTranslationWithSpecificContext","wrapper",
"PortableObjectStringLocalizerTests","boundary","LocalizerReturnsTranslationWithoutContextIfTranslationWithContextDoesntExist","wrapper",
"PortableObjectStringLocalizerTests","boundary","LocalizerReturnsFormattedTranslation","command collaborator",
"PortableObjectStringLocalizerTests","boundary","HtmlLocalizerDoesNotFormatTwiceIfFormattedTranslationContainsCurlyBraces","command collaborator",
"PortableObjectStringLocalizerTests","boundary","LocalizerReturnsOriginalTextForPluralIfTranslationDoesntExist","controller",
"PortableObjectStringLocalizerTests","boundary","LocalizerReturnsTranslationInCorrectPluralForm","controller",
"PortableObjectStringLocalizerTests","boundary","LocalizerReturnsOriginalValuesIfTranslationDoesntExistAndMultiplePluraflFormsAreSpecified","controller",
"PortableObjectStringLocalizerTests","boundary","LocalizerReturnsCorrectPluralFormIfMultiplePluraflFormsAreSpecified","controller",
"PortableObjectStringLocalizerTests","boundary","LocalizerFallBackToParentCultureIfFallBackToParentUICulturesIsTrue","command collaborator",
"PortableObjectStringLocalizerTests","boundary","LocalizerWithContextShouldCallGetDictionaryOncePerCulture","command collaborator",
"PortableObjectStringLocalizerTests","boundary","SetupDictionary","command collaborator",
"PoParserTests","boundary degenerate","ParseRetursSimpleEntry","wrapper stateless",
"PoParserTests","boundary degenerate","ParseIgnoresEntryWithoutTranslation","wrapper stateless",
"PoParserTests","boundary degenerate","ParseIgnoresPoeditHeader","wrapper stateless",
"PoParserTests","boundary degenerate","ParseSetsContext","wrapper stateless",
"PoParserTests","boundary degenerate","ParseIgnoresComments","wrapper stateless",
"PoParserTests","boundary degenerate","ParseOnlyTrimsLeadingAndTrailingQuotes","wrapper stateless",
"PoParserTests","boundary degenerate","ParseHandleUnclosedQuote","wrapper stateless",
"PoParserTests","boundary degenerate","ParseHandlesMultilineEntry","wrapper stateless",
"PoParserTests","boundary degenerate","ParsePreservesEscapedCharacters","wrapper stateless",
"PoParserTests","boundary degenerate","ParseReadsPluralTranslations","wrapper stateless",
"PoParserTests","boundary degenerate","ParseReadsPluralAndMultilineText","wrapper stateless",
"PoParserTests","boundary degenerate","ParseReadsMultipleEntries","wrapper stateless",
"HtmlStringLocalizerTests","pure-controller degenerate small-class","HtmlNullLocalizerSupportsPlural","controller stateless",
"DefaultPluralRuleProviderTests","boundary degenerate small-class","TryGetRuleShouldReturnRuleForTopCulture","wrapper stateless",
"EmailTests","boundary degenerate","SendEmail_UsesDefaultSender","wrapper stateless",
"EmailTests","boundary degenerate","SendEmail_WithCcHeader","wrapper stateless",
"EmailTests","boundary degenerate","SendEmail_WithBccHeader","wrapper stateless",
"EmailTests","boundary degenerate","SendEmail_WithDisplayName","wrapper stateless",
"EmailTests","boundary degenerate","SendEmail_UsesCustomSender","wrapper stateless",
"EmailTests","boundary degenerate","SendEmail_UsesCustomAuthorAndSender","wrapper stateless",
"EmailTests","boundary degenerate","SendEmail_UsesMultipleAuthors","wrapper stateless",
"EmailTests","boundary degenerate","SendEmail_UsesReplyTo","wrapper stateless",
"EmailTests","boundary degenerate","ReplyTo_ShouldHaveAuthors_IfNotSet","wrapper stateless",
"EmailTests","boundary degenerate","MailBoxAddress_ShouldParseEmail","wrapper stateless",
"EmailTests","boundary degenerate","SendEmail_WithoutToAndCcAndBccHeaders_ShouldThrowsException","controller stateless",
"EmailTests","boundary degenerate","SendOfflineEmailHasNoResponse","controller stateless",
"ZoneOnDemandTests","boundary degenerate","ZoneOnDemandIsEqualToNull","wrapper stateless",
"ZoneOnDemandTests","boundary degenerate","DynamicZoneOnDemandIsEqualToNull","wrapper stateless",
"ZoneOnDemandTests","boundary degenerate","ZoneOnDemandAsBaseTypeIsNotEqualToNull","wrapper stateless",
"ZoneOnDemandTests","boundary degenerate","ZoneOnDemandIsNotEqualToItself","wrapper stateless",
"ZoneOnDemandTests","boundary degenerate","DynamicZoneOnDemandIsNotEqualToItself","wrapper stateless",
"ZoneOnDemandTests","boundary degenerate","ZoneOnDemandAsBaseTypeIsEqualToItself","wrapper stateless",
"ZoneOnDemandTests","boundary degenerate","ZoneHoldingPropertiesMissingIndexThrows","wrapper stateless",
"ZoneOnDemandTests","boundary degenerate","DynamicZoneHoldingMissingIndexIsNull","wrapper stateless",
"ZoneOnDemandTests","boundary degenerate","DynamicZoneHoldingMissingPropertyAddsAnEmptyZoneOnDemand","wrapper stateless",
"ZoneOnDemandTests","boundary degenerate","DynamicZonesMissingPropertyReturnsATemporaryZoneOnDemand","wrapper stateless",
"ZoneOnDemandTests","boundary degenerate","AddingAnItemToAZoneOnDemandAddsAZoneShapeToItsParent","controller stateless",
"ZoneOnDemandTests","boundary degenerate","DynamicZoneOnDemandShouldBeRecursive","wrapper stateless",
"ZoneOnDemandTests","boundary degenerate","CallingToStringOnZoneOnDemandShouldReturnEmpty","controller stateless",
"ZoneOnDemandTests","boundary degenerate","CallingToStringOnDynamicZoneOnDemandShouldReturnEmpty","controller stateless",
"ZoneOnDemandTests","boundary degenerate","ConvertingZoneOnDemandToStringShouldReturnNullString","wrapper stateless",
"ViewBufferTextWriterContentTests","boundary degenerate","ShouldWriteString","wrapper stateless",
"ViewBufferTextWriterContentTests","boundary degenerate","ShouldWriteChar","wrapper stateless",
"ViewBufferTextWriterContentTests","boundary degenerate","ShouldWriteBufferFragment","wrapper stateless",
"ViewBufferTextWriterContentTests","boundary degenerate","ShouldWriteBuffer","wrapper stateless",
"ViewBufferTextWriterContentTests","boundary degenerate","ShouldWriteObject","wrapper stateless",
"ViewBufferTextWriterContentTests","boundary degenerate","ShouldWriteMultipleFragments","wrapper stateless",
"ViewBufferTextWriterContentTests","boundary degenerate","ShouldWriteMultipleStringPages","wrapper stateless",
"ViewBufferTextWriterContentTests","boundary degenerate","ShouldWriteMultipleCharPages","wrapper stateless",
"ViewBufferTextWriterContentTests","boundary degenerate","ShouldWriteMultipleBufferFragmentPages","wrapper stateless",
"PageTitleBuilderTests","commander boundary","PageTitleBuilderTests","constructor",
"PageTitleBuilderTests","commander boundary","GenerateTitleEmpty","command collaborator",
"PageTitleBuilderTests","commander boundary","FixedTitleSet","command collaborator",
"PageTitleBuilderTests","commander boundary","FixedTitleClearAndCheck","command collaborator",
"PageTitleBuilderTests","commander boundary","FixedTitleAddSegment","command collaborator",
"PageTitleBuilderTests","commander boundary","TitleAddSegment","command collaborator",
"PageTitleBuilderTests","commander boundary","TitleMultiAddSegment","command collaborator",
"PageTitleBuilderTests","commander boundary","TitleAddAndClear","command collaborator",
"PageTitleBuilderTests","commander boundary","TitleMultiGenerateTitle","command collaborator",
"PageTitleBuilderTests","commander boundary","TitleAddSegments","command collaborator",
"ShapeHelperTests","commander boundary","ShapeHelperTests","constructor",
"ShapeHelperTests","commander boundary","CreatingNewShapeTypeByName","non-void-command collaborator",
"ShapeHelperTests","commander boundary","CreatingShapeWithAdditionalNamedParameters","non-void-command collaborator",
"ShapeHelperTests","commander boundary","WithPropertyBearingObjectInsteadOfNamedParameters","non-void-command collaborator",
"ShapeFactoryTests","entity commander boundary","ShapeFactoryTests","constructor",
"ShapeFactoryTests","entity commander boundary","ShapeHasAttributesType","non-void-command collaborator",
"ShapeFactoryTests","entity commander boundary","CreateShapeWithNamedArguments","non-void-command collaborator",
"ShapeFactoryTests","entity commander boundary","CallSyntax","non-void-command collaborator",
"ShapeFactoryTests","entity commander boundary","CallSyntaxAsync","non-void-command collaborator",
"ShapeFactoryTests","entity commander boundary","CallInitializer","non-void-command collaborator",
"ShapeFactoryTests","entity commander boundary","ShapeFactoryUsesCustomShapeType","property non-void-command collaborator",
"ShapeFactoryTests","entity commander boundary","ShapeFactoryWithCustomShapeTypeAppliesArguments","property non-void-command collaborator",
"LiquidTests","pure-controller degenerate","ComparingTextField_ReturnsCorrectValue","controller stateless",
"LiquidTests","pure-controller degenerate","ComparingDateTimeField_ReturnsCorrectValue","controller stateless",
"LiquidTests","pure-controller degenerate","ComparingNumericField_ReturnsCorrectValue","controller stateless",
"DefaultShapeTableManagerTests","entity commander boundary","DefaultShapeTableManagerTests","constructor",
"DefaultShapeTableManagerTests","entity commander boundary","ManagerCanBeResolved","command collaborator",
"DefaultShapeTableManagerTests","entity commander boundary","DefaultShapeTableIsReturnedForNullOrEmpty","non-void-command collaborator",
"DefaultShapeTableManagerTests","entity commander boundary","CallbackAlterationsContributeToDescriptor","property non-void-command collaborator",
"DefaultShapeTableManagerTests","entity commander boundary","DefaultPlacementIsReturnedByDefault","non-void-command collaborator",
"DefaultShapeTableManagerTests","entity commander boundary","DescribedPlacementIsReturnedIfNotNull","non-void-command collaborator",
"DefaultShapeTableManagerTests","entity commander boundary","TwoArgumentVariationDoesSameThing","non-void-command collaborator",
"DefaultShapeTableManagerTests","entity commander boundary","PathConstraintShouldMatch","non-void-command collaborator",
"DefaultShapeTableManagerTests","entity commander boundary","OnlyShapesFromTheGivenThemeAreProvided","non-void-command collaborator",
"DefaultShapeTableManagerTests","entity commander boundary","ShapesFromTheBaseThemeAreProvided","non-void-command collaborator",
"DefaultShapeTableManagerTests","entity commander boundary","DerivedThemesCanOverrideBaseThemeShapeBindings","non-void-command collaborator",
"DefaultShapeTableManagerTests","entity commander boundary","Dispose","command",
"CompositeTests","boundary degenerate","CompositesShouldNotOverrideExistingMembers","wrapper stateless",
"CompositeTests","boundary degenerate","CompositesShouldNotOverrideExistingMembersWhenUsedAsDynamic","wrapper stateless",
"CompositeTests","boundary degenerate","CompositesShouldAccessUnknownProperties","wrapper stateless",
"CompositeTests","boundary degenerate","CompositesShouldAccessUnknownPropertiesByIndex","wrapper stateless",
"CompositeTests","boundary degenerate","CompositesShouldAccessKnownPropertiesByIndex","wrapper stateless",
"CompositeTests","boundary degenerate","ChainProperties","controller stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToBool","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableBool","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToByte","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableBye","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToChar","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableChar","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToDateTime","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableDateTime","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToDateTimeOffset","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullablDateTimeOffset","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToDecimal","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableDecimal","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToDouble","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableDouble","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToGuid","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableGuid","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToInt16","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableInt16","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToInt32","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableInt32","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToInt64","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableInt64","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToSByte","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableSByte","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToSingle","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableSingle","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToString","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToUInt16","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableUInt16","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToUInt32","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableUInt32","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToUInt64","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableUInt64","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToByteArray","wrapper stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToTimeSpan","controller stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToNullableTimeSpan","controller stateless",
"JsonDynamicTests","boundary degenerate","JsonDynamicValueMustConvertToUri","controller stateless",
"CommandManagerTests","commander boundary small-class","CommandManagerTests","constructor",
"CommandManagerTests","commander boundary small-class","ManagerCanRunACommand","non-void-command collaborator",
"CommandManagerTests","commander boundary small-class","ManagerCanRunACompositeCommand","non-void-command collaborator",
"RequiresPermissionValidationRuleTests","pure-controller degenerate","FieldsWithNoRequirePermissionsShouldResolve","controller stateless",
"RequiresPermissionValidationRuleTests","pure-controller degenerate","FieldsWithRequirePermissionsShouldResolveWhenUserHasPermissions","controller stateless",
"RequiresPermissionValidationRuleTests","pure-controller degenerate","FieldsWithRequirePermissionsShouldNotResolveWhenUserDoesntHavePermissions","controller stateless",
"RequiresPermissionValidationRuleTests","pure-controller degenerate","FieldsWithMultipleRequirePermissionsShouldResolveWhenUserHasAllPermissions","controller stateless",
"RecentBlogPostsQueryTests","pure-controller degenerate small-class","ShouldListBlogPostWhenCallingAQuery","controller stateless",
"DynamicContentTypeQueryTests","boundary degenerate","ShouldQueryContentFields","wrapper stateless",
"DynamicContentTypeQueryTests","boundary degenerate","ShouldQueryCollapsedContentFields","wrapper stateless",
"DynamicContentTypeQueryTests","boundary degenerate","ShouldQueryCollapsedContentFieldsWithPreventCollision","wrapper stateless",
