Unique Class Stereotype,Class Count
commander boundary degenerate,3
lazy-class degenerate,1
commander boundary lazy-class small-class,1
data-provider,1
data-provider boundary data-class small-class,1
data-provider boundary,9
boundary small-class,1
commander data-class small-class,1
controller degenerate,2
entity boundary small-class,12
small-class,18
boundary degenerate small-class,32
pure-controller degenerate small-class,17
entity commander boundary,28
commander lazy-class degenerate,1
commander boundary,65
boundary degenerate,6
controller,20
data-provider boundary small-class,12
entity boundary,33
unclassified,30
controller small-class,10
commander boundary small-class,16
commander degenerate,2
entity boundary degenerate,8
commander small-class,16
data-provider degenerate,1
entity data-provider boundary,1
boundary,18
pure-controller small-class,7
degenerate,8
degenerate small-class,7
factory small-class,1
commander,38
empty,799
entity small-class,2
entity,1
Total,1229
