Class Name,Class Stereotype,Method Name,Method Stereotype
"BreedTests","pure-controller","VerifyBreed","controller",
"BreedTests","pure-controller","CheckBad","controller",
"BreedTests","pure-controller","CheckFix","controller",
"GeneralTests","boundary degenerate","SWSH_Hypothesis","wrapper stateless",
"GeneralTests","boundary degenerate","BDSP_Hypothesis","wrapper stateless",
"GeneralTests","boundary degenerate","SV_Hypothesis","wrapper stateless",
"FontUtil","empty","FontUtil","constructor",
"SettingsEditor","commander small-class","Dispose","command",
"SettingsEditor","commander small-class","InitializeComponent","command",
"TrainerStat","commander small-class","Dispose","command",
"TrainerStat","commander small-class","InitializeComponent","command",
"SAV_SimpleTrainer","commander small-class","Dispose","command",
"SAV_SimpleTrainer","commander small-class","InitializeComponent","command",
"SAV_SimplePokedex","commander small-class","Dispose","command",
"SAV_SimplePokedex","commander small-class","InitializeComponent","command",
"SAV_MailBox","commander small-class","Dispose","command",
"SAV_MailBox","commander small-class","InitializeComponent","command",
"SAV_Inventory","commander small-class","Dispose","command",
"SAV_Inventory","commander small-class","InitializeComponent","command collaborator",
"SAV_GroupViewer","commander small-class","Dispose","command",
"SAV_GroupViewer","commander small-class","InitializeComponent","command",
"SAV_EventWork","commander small-class","Dispose","command",
"SAV_EventWork","commander small-class","InitializeComponent","command",
"SAV_EventFlags2","commander small-class","Dispose","command",
"SAV_EventFlags2","commander small-class","InitializeComponent","command",
"SAV_EventFlags","commander small-class","Dispose","command",
"SAV_EventFlags","commander small-class","InitializeComponent","command",
"SAV_Chatter","commander small-class","Dispose","command",
"SAV_Chatter","commander small-class","InitializeComponent","command",
"SAV_BoxViewer","commander small-class","Dispose","command",
"SAV_BoxViewer","commander small-class","InitializeComponent","command",
"SAV_Accessor<T>","commander small-class","Dispose","command",
"SAV_Accessor<T>","commander small-class","InitializeComponent","command",
"SAV_RaidSevenStar9","commander small-class","Dispose","command",
"SAV_RaidSevenStar9","commander small-class","InitializeComponent","command",
"SAV_PokedexSV","commander small-class","Dispose","command",
"SAV_PokedexSV","commander small-class","InitializeComponent","command",
"SAV_Trainer8b","commander small-class","Dispose","command",
"SAV_Trainer8b","commander small-class","InitializeComponent","command",
"SAV_Trainer8a","commander small-class","Dispose","command",
"SAV_Trainer8a","commander small-class","InitializeComponent","command",
"SAV_Trainer8","commander small-class","Dispose","command",
"SAV_Trainer8","commander small-class","InitializeComponent","command",
"SAV_Raid8","commander small-class","Dispose","command",
"SAV_Raid8","commander small-class","InitializeComponent","command",
"SAV_PokedexSWSH","commander small-class","Dispose","command",
"SAV_PokedexSWSH","commander small-class","InitializeComponent","command",
"SAV_PokedexLA","commander small-class","Dispose","command",
"SAV_PokedexLA","commander small-class","InitializeComponent","command",
"SAV_Poffin8b","commander small-class","Dispose","command",
"SAV_Poffin8b","commander small-class","InitializeComponent","command",
"SAV_Misc8b","commander small-class","Dispose","command",
"SAV_Misc8b","commander small-class","InitializeComponent","command",
"SAV_FlagWork8b","commander small-class","Dispose","command",
"SAV_FlagWork8b","commander small-class","InitializeComponent","command",
"SAV_BlockDump8","commander small-class","Dispose","command",
"SAV_BlockDump8","commander small-class","InitializeComponent","command",
