Unique Method Stereotype,Method Count
get property non-void-command,1
factory controller stateless,1
property factory wrapper,1
predicate,4
unclassified,1
predicate controller,1
non-void-command factory collaborator,1
property factory controller,1
void-accessor,1
void-accessor command collaborator,5
non-void-command,1
property set collaborator,6
get non-void-command collaborator,1
property wrapper,11
property,5
factory wrapper,2
predicate non-void-command,9
wrapper stateless,45
constructor,30
empty,4
command,223
command collaborator,124
controller stateless,30
set collaborator,7
property non-void-command collaborator,8
property controller,5
get collaborator,1
set,16
get property collaborator,2
copy-constructor,1
controller,3
predicate non-void-command collaborator,6
incidental,5
get property non-void-command collaborator,1
collaborator incidental,3
get,2
collaborator stateless,2
property non-void-command,28
property collaborator,1
wrapper,17
get set collaborator,1
predicate collaborator,1
factory wrapper stateless,3
predicate wrapper,2
non-void-command collaborator,1
Total,624
