Class Name,Class Stereotype,Method Name,Method Stereotype
"ViRegisterTests","pure-controller degenerate","ViRegister_Empty_LinewisePasteBefore","controller stateless",
"ViRegisterTests","pure-controller degenerate","ViRegister_Fragment_LinewisePasteBefore","controller stateless",
"ViRegisterTests","pure-controller degenerate","ViRegister_Lines_LinewisePasteBefore","controller stateless",
"ViRegisterTests","pure-controller degenerate","ViRegister_Fragment_LinewisePasteAfter_Fragment","controller stateless",
"ViRegisterTests","pure-controller degenerate","ViRegister_Fragment_LinewisePasteAfter_Lines","controller stateless",
"ViRegisterTests","pure-controller degenerate","ViRegister_Lines_LinewisePasteAfter_Fragment","controller stateless",
"ViRegisterTests","pure-controller degenerate","ViRegister_Lines_LinewisePasteAfter_Lines","controller stateless",
"RenderedLineData","data-class small-class","RenderedLineData","constructor",
"RenderedLineData","data-class small-class","PhysicalLineCount","get property non-void-command",
"PSConsoleReadLine","boundary degenerate small-class","DeleteCharImpl","wrapper stateless",
"PSConsoleReadLine","boundary degenerate small-class","AcceptLineImpl","wrapper stateless",
"PredictionInlineView","commander","PredictionInlineView","constructor",
"PredictionInlineView","commander","GetSuggestion","command",
"PredictionInlineView","commander","AggregateSuggestions","command collaborator",
"PredictionInlineView","commander","RenderSuggestion","collaborator",
"PredictionInlineView","commander","OnSuggestionAccepted","set",
"PredictionInlineView","commander","Clear","command",
"PredictionInlineView","commander","Reset","command",
"PredictionInlineView","commander","FindForwardSuggestionWordPoint","get property wrapper",
"PlatformWindows","boundary degenerate","WriteHelper","controller stateless",
"PlatformWindows","boundary degenerate","Write","command",
"PlatformWindows","boundary degenerate","WriteLine","command",
"PlatformWindows","boundary degenerate","BlankRestOfLine","wrapper stateless",
"PlatformWindows","boundary degenerate","set","wrapper stateless",
"QueueDebugView<T>","empty","QueueDebugView","constructor",
"KeyHandler","data-provider boundary small-class","get","property wrapper",
"MockedMethods","commander lazy-class","ClearPredictionFields","command",
"MockedMethods","commander lazy-class","Ding","set",
"MockedMethods","commander lazy-class","CompleteInput","wrapper stateless",
"MockedMethods","commander lazy-class","RunspaceIsRemote","collaborator incidental",
"MockedMethods","commander lazy-class","PredictInputAsync","factory controller stateless",
"MockedMethods","commander lazy-class","OnCommandLineAccepted","set collaborator",
"MockedMethods","commander lazy-class","OnCommandLineExecuted","set",
"MockedMethods","commander lazy-class","OnSuggestionDisplayed","set",
"MockedMethods","commander lazy-class","OnSuggestionAccepted","command",
"MockedMethods","commander lazy-class","GetDynamicHelpContent","wrapper stateless",
"MockedMethods","commander lazy-class","RenderFullHelp","set",
"VirtualTerminal","entity minimal-entity boundary","set","non-void-command",
"VirtualTerminal","entity minimal-entity boundary","get","get property collaborator",
"VirtualTerminal","entity minimal-entity boundary","set","set collaborator",
"PSReadLineResources","data-provider boundary","PSReadLineResources","constructor",
"PSReadLineResources","data-provider boundary","get","get set collaborator",
"PSReadLineResources","data-provider boundary","get","get collaborator",
"PSReadLineResources","data-provider boundary","set","set collaborator",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
"PSReadLineResources","data-provider boundary","get","property wrapper",
