Unique Class Stereotype,Class Count
factory degenerate small-class,1
minimal-entity,1
factory pure-controller degenerate small-class,2
controller,1
data-class small-class,2
entity boundary,9
pure-controller degenerate,1
commander boundary,6
boundary degenerate,20
unclassified,16
small-class,14
entity boundary small-class,13
lazy-class degenerate,1
boundary degenerate small-class,28
factory pure-controller small-class,1
pure-controller degenerate small-class,4
entity commander boundary,6
factory controller small-class,4
data-provider boundary data-class small-class,1
commander data-class small-class,5
boundary small-class,1
data-provider boundary,1
commander boundary data-class small-class,2
commander small-class,8
commander boundary small-class,9
degenerate,8
boundary,7
pure-controller small-class,4
data-provider boundary small-class,1
factory controller data-class small-class,1
commander,6
empty,179
factory controller,1
entity small-class,3
entity minimal-entity boundary,3
commander boundary degenerate,5
degenerate small-class,5
entity factory controller small-class,1
Total,381
