Unique Method Stereotype,Method Count
factory controller stateless,1
get property non-void-command factory collaborator,1
get wrapper,1
non-void-command,3
get property factory wrapper,1
property factory wrapper,2
non-void-command factory collaborator,1
non-void-command collaborator,3
get collaborator,3
controller stateless,20
void-accessor wrapper,1
wrapper stateless,40
constructor,44
predicate non-void-command,5
property non-void-command collaborator,7
set collaborator,17
predicate set collaborator,1
factory wrapper stateless,4
command collaborator,36
command,27
empty,10
get set,1
wrapper,13
factory collaborator stateless,4
collaborator incidental,17
get property set factory collaborator,1
collaborator stateless,21
void-accessor command collaborator,7
predicate set,1
property non-void-command,2
property non-void-command factory collaborator,9
property collaborator,1
set,29
get property collaborator,2
void-accessor controller,1
void-accessor set collaborator,6
property set collaborator,1
stateless,1
controller,2
incidental,3
copy-constructor,1
get non-void-command collaborator,1
property wrapper,4
get set collaborator,1
Total,357
