Unique Method Stereotype,Method Count
property factory collaborator,1
set,25
constructor,43
property,4
get property non-void-command factory collaborator,1
get set factory collaborator,1
set collaborator,10
property non-void-command collaborator,132
predicate non-void-command,9
non-void-command factory collaborator,3
command collaborator,60
predicate wrapper,2
non-void-command collaborator,175
command,49
controller stateless,217
wrapper,14
get non-void-command collaborator,4
property wrapper,2
property non-void-command,2
property collaborator,1
property non-void-command factory collaborator,8
wrapper stateless,39
copy-constructor,41
incidental,6
predicate non-void-command collaborator,9
controller,6
collaborator incidental,12
get,4
factory wrapper stateless,5
predicate,1
Total,886
