Unique Method Stereotype,Method Count
get set,2
wrapper,2
factory collaborator incidental,1
factory wrapper stateless,4
property non-void-command factory collaborator,2
collaborator incidental,1
property,1
factory controller,2
factory,3
non-void-command collaborator,1
get collaborator,1
set collaborator,1
set,1
constructor,19
empty,8
command,11
property collaborator,5
void-accessor command collaborator,1
property non-void-command,7
wrapper stateless,14
command collaborator,19
predicate,1
property controller,1
controller stateless,2
property non-void-command collaborator,5
predicate wrapper,3
property wrapper,2
predicate non-void-command collaborator,2
predicate controller,1
Total,123
