Class Name,Class Stereotype,Method Name,Method Stereotype
"BinaryEncoding","degenerate small-class","GetBytes","incidental",
"BinaryEncoding","degenerate small-class","GetChars","incidental",
"SafeBufferWrapper","degenerate small-class","SafeBufferWrapper","constructor",
"SafeBufferWrapper","degenerate small-class","ReleaseHandle","incidental",
"UIntPtr32","data-provider boundary small-class","Convert","property wrapper",
"CrossBitnessTypeAttribute","data-provider boundary small-class","CrossBitnessTypeAttribute","constructor",
"CrossBitnessTypeAttribute","data-provider boundary small-class","GetSize","property wrapper",
"NDR_EXPR_DESC32","entity factory controller small-class","Convert","property non-void-command factory collaborator",
"RPC_SERVER_INTERFACE","factory controller","GetDispatchTable","property factory controller",
"RPC_SERVER_INTERFACE","factory controller","GetServerInfo","property factory controller",
"RPC_SERVER_INTERFACE","factory controller","GetProtSeq","property factory controller",
"RPC_DISPATCH_TABLE","controller small-class","GetDispatchTable","property controller",
"MIDL_STUB_DESC","controller small-class","GetExprDesc","property factory controller",
"MIDL_STUB_DESC","controller small-class","GetFlags","property non-void-command collaborator",
"MIDL_SYNTAX_INFO32","entity factory controller small-class","Convert","property non-void-command factory collaborator",
"RPC_SERVER_INTERFACE32","entity factory controller small-class","Convert","property non-void-command factory collaborator",
"RPC_DISPATCH_TABLE32","entity factory controller small-class","Convert","property non-void-command factory collaborator",
"MIDL_SERVER_INFO32","entity factory controller small-class","Convert","property non-void-command factory collaborator",
"MIDL_STUB_DESC32","entity factory controller small-class","Convert","property non-void-command factory collaborator",
"ProxyFileInfo","controller","GetNames","property controller",
"ProxyFileInfo","controller","GetBaseIids","property controller",
"ProxyFileInfo","controller","GetStubs","property controller",
"NdrUnmarshalBuffer","boundary","ReadStringArray","property non-void-command collaborator",
"NdrUnmarshalBuffer","boundary","SetupConformance","predicate non-void-command",
"NdrUnmarshalBuffer","boundary","ReadConformance","property set",
"NdrUnmarshalBuffer","boundary","ReadFullPointer<T>","property set collaborator",
"NdrUnmarshalBuffer","boundary","ReadStructInternal<T>","property non-void-command collaborator",
"NdrUnmarshalBuffer","boundary","Align","set",
"NdrUnmarshalBuffer","boundary","NdrUnmarshalBuffer","constructor",
"NdrUnmarshalBuffer","boundary","NdrUnmarshalBuffer","constructor",
"NdrUnmarshalBuffer","boundary","NdrUnmarshalBuffer","constructor",
"NdrUnmarshalBuffer","boundary","ReadContextHandle","property non-void-command factory collaborator",
"NdrUnmarshalBuffer","boundary","ReadUnsupported","wrapper stateless",
"NdrUnmarshalBuffer","boundary","ReadEmpty","factory wrapper stateless",
"NdrUnmarshalBuffer","boundary","ReadInterfacePointer","wrapper stateless",
"NdrUnmarshalBuffer","boundary","ReadPipe<T>","wrapper stateless",
"NdrUnmarshalBuffer","boundary","ReadByte","property non-void-command",
"NdrUnmarshalBuffer","boundary","ReadSByte","property non-void-command",
"NdrUnmarshalBuffer","boundary","ReadInt16","property non-void-command",
"NdrUnmarshalBuffer","boundary","ReadUInt16","property non-void-command",
"NdrUnmarshalBuffer","boundary","ReadInt32","property non-void-command",
"NdrUnmarshalBuffer","boundary","ReadUInt32","property non-void-command",
"NdrUnmarshalBuffer","boundary","ReadInt64","property non-void-command",
"NdrUnmarshalBuffer","boundary","ReadUInt64","property non-void-command",
"NdrUnmarshalBuffer","boundary","ReadFloat","property non-void-command",
"NdrUnmarshalBuffer","boundary","ReadInt3264","property non-void-command factory collaborator",
"NdrUnmarshalBuffer","boundary","ReadUInt3264","property non-void-command factory collaborator",
"NdrUnmarshalBuffer","boundary","ReadDouble","property non-void-command",
