Unique Class Stereotype,Class Count
factory pure-controller degenerate small-class,2
entity factory controller small-class,1
entity boundary,2
commander boundary small-class,3
degenerate,1
boundary,4
pure-controller degenerate,3
boundary degenerate small-class,1
commander boundary,3
entity,2
entity small-class,2
pure-controller degenerate small-class,9
large-class degenerate,1
degenerate small-class,1
entity data-provider boundary,1
empty,34
unclassified,2
commander boundary data-class small-class,1
boundary data-class small-class,1
data-provider boundary data-class small-class,2
Total,76
