Unique Method Stereotype,Method Count
predicate,1
property factory wrapper,1
get set collaborator,2
void-accessor controller,1
void-accessor command,2
collaborator,4
predicate non-void-command,2
property set,1
factory collaborator incidental,4
destructor,4
property factory collaborator,4
get property set,1
property set factory,1
factory collaborator,2
unclassified,1
non-void-command,18
property non-void-command factory collaborator,4
property collaborator,5
property non-void-command,2
factory wrapper stateless,6
non-void-command factory collaborator,5
property,7
predicate set collaborator,1
get non-void-command collaborator,14
property wrapper,31
get property non-void-command collaborator,1
collaborator incidental,122
controller stateless,48
copy-constructor,1
incidental,13
predicate non-void-command collaborator,4
controller,25
wrapper,47
property set collaborator,5
factory collaborator stateless,4
property controller,6
property non-void-command collaborator,35
set collaborator,85
factory controller,4
empty,7
command,84
command collaborator,259
constructor,269
get property collaborator,2
set,15
predicate wrapper,4
non-void-command collaborator,28
collaborator stateless,13
get property wrapper,2
void-accessor set collaborator,15
wrapper stateless,191
void-accessor wrapper,10
void-accessor command collaborator,25
void-accessor collaborator,11
factory controller stateless,4
get collaborator,7
property factory controller,1
property set factory collaborator,2
Total,1473
