Unique Method Stereotype,Method Count
collaborator incidental,47
get,30
get property non-void-command collaborator,3
non-void-command collaborator,115
predicate wrapper,11
property non-void-command factory collaborator,25
property non-void-command,35
predicate non-void-command,22
property non-void-command collaborator,290
property controller,12
empty,48
wrapper stateless,172
collaborator stateless,15
collaborator,2
set factory collaborator,2
get property set factory collaborator,1
get collaborator,51
incidental,54
controller,48
get set collaborator,3
factory controller stateless,2
predicate non-void-command collaborator,42
wrapper,24
get set,3
property set collaborator,13
property collaborator,36
stateless,7
set,39
constructor,320
factory controller,1
get property controller,1
predicate controller,4
controller stateless,251
non-void-command factory collaborator,15
get non-void-command collaborator,6
property wrapper,28
property,27
command collaborator,163
property factory collaborator,13
get wrapper,1
factory wrapper stateless,5
predicate,11
factory collaborator stateless,2
void-accessor command collaborator,4
predicate collaborator,3
void-accessor,2
copy-constructor,2
void-accessor collaborator,1
predicate set collaborator,4
command,179
property factory wrapper,9
get property factory wrapper,1
void-accessor controller,1
property factory controller,2
set collaborator,34
non-void-command,5
property set factory collaborator,1
property set,1
factory collaborator incidental,1
get property,1
get property wrapper,1
Total,2252
