Unique Class Stereotype,Class Count
entity factory controller,1
entity boundary,15
degenerate small-class,4
entity boundary small-class,2
small-class,7
pure-controller degenerate,1
data-provider boundary small-class,10
commander small-class,7
commander boundary,16
commander lazy-class small-class,1
boundary degenerate,2
pure-controller degenerate small-class,37
entity commander boundary,8
empty,124
commander,18
factory controller,1
boundary degenerate small-class,2
data-provider boundary,11
unclassified,15
controller small-class,47
boundary,18
degenerate,3
entity data-provider boundary,8
lazy-class degenerate,1
boundary data-class small-class,1
factory controller small-class,1
data-provider boundary lazy-class small-class,1
commander data-class small-class,3
boundary small-class,2
data-provider data-class,1
Total,368
