Class Name,Class Stereotype,Method Name,Method Stereotype
"ViewUwpApps","degenerate small-class","ViewUwpApps","constructor",
"ViewUwpApps","degenerate small-class","OnChildMouseWheelEvent","controller stateless",
"ViewUwpApps","degenerate small-class","ViewUwpApps_IsVisibleChanged","wrapper stateless",
"ViewTaskScheduler","degenerate small-class","ViewTaskScheduler","constructor",
"ViewTaskScheduler","degenerate small-class","OnChildMouseWheelEvent","controller stateless",
"ViewTaskScheduler","degenerate small-class","ViewTaskScheduler_IsVisibleChanged","wrapper stateless",
"ViewSystem","degenerate small-class","ViewSystem","constructor",
"ViewSystem","degenerate small-class","OnChildMouseWheelEvent","controller stateless",
"ViewSystem","degenerate small-class","ViewSystem_IsVisibleChanged","wrapper stateless",
"ViewStartMenu","boundary","ViewStartMenu","constructor",
"ViewStartMenu","boundary","OnChildMouseWheelEvent","controller stateless",
"ViewStartMenu","boundary","TextedElementsFilter","wrapper stateless",
"ViewStartMenu","boundary","ViewStartMenu_IsVisibleChanged","wrapper stateless",
"ViewStartMenu","boundary","get","property wrapper",
"ViewStartMenu","boundary","set","wrapper",
"ViewStartMenu","boundary","get","property wrapper",
"ViewStartMenu","boundary","set","wrapper",
"ViewSearch","boundary","ViewSearch","constructor",
"ViewSearch","boundary","OnChildMouseWheelEvent","controller stateless",
"ViewSearch","boundary","ViewSearch_IsVisibleChanged","wrapper stateless",
"ViewSearch","boundary","get","property wrapper",
"ViewSearch","boundary","set","wrapper",
"ViewPrivacy","degenerate small-class","ViewPrivacy","constructor",
"ViewPrivacy","degenerate small-class","OnChildMouseWheelEvent","controller stateless",
"ViewPrivacy","degenerate small-class","ViewPrivacy_IsVisibleChanged","wrapper stateless",
"ViewGames","boundary","ViewGames","constructor",
"ViewGames","boundary","OnChildMouseWheelEvent","controller stateless",
"ViewGames","boundary","TextedElementsFilter","void-accessor wrapper",
"ViewGames","boundary","ViewGames_IsVisibleChanged","wrapper stateless",
"ViewGames","boundary","get","property wrapper",
"ViewGames","boundary","set","wrapper",
"ViewContextMenu","degenerate small-class","ViewContextMenu","constructor",
"ViewContextMenu","degenerate small-class","OnChildMouseWheelEvent","controller stateless",
"ViewContextMenu","degenerate small-class","ViewContextMenu_IsVisibleChanged","wrapper stateless",
"ViewConditionsTemplate","data-provider boundary small-class","ViewConditionsTemplate","constructor",
"ViewConditionsTemplate","data-provider boundary small-class","get","property wrapper",
"ViewConditionsTemplate","data-provider boundary small-class","set","wrapper",
"SingleAdminSessionCondition","boundary data-class small-class","Invoke","predicate set collaborator",
"RebootRequiredCondition","boundary data-class small-class","Invoke","predicate set collaborator",
"OsVersionCondition","boundary data-class small-class","Invoke","predicate set collaborator",
"OsFilesCorruptedCondition","data-class small-class","Invoke","predicate set",
"OsBuildVersionCondition","data-provider degenerate","Invoke","predicate collaborator",
"OsBuildVersionCondition","data-provider degenerate","CheckWindows11","incidental",
"OsBuildVersionCondition","data-provider degenerate","CheckWindows10","incidental",
"NewVersionCondition","controller data-class small-class","Invoke","get controller",
"Settings","data-provider data-class small-class","get","get",
"UwpElement","empty","UwpElement","copy-constructor",
"SimpleSwitch","data-provider boundary","SimpleSwitch","constructor",
"SimpleSwitch","data-provider boundary","get","property wrapper",
"SimpleSwitch","data-provider boundary","set","wrapper",
"SimpleSwitch","data-provider boundary","get","property wrapper",
"SimpleSwitch","data-provider boundary","set","wrapper",
"VisualRedistrLibsNotInstalled","empty","VisualRedistrLibsNotInstalled","constructor",
"MicrosoftDefenderNotRunning","empty","MicrosoftDefenderNotRunning","constructor",
"TitleRight","empty","TitleRight","constructor",
"TitleLeft","empty","TitleLeft","constructor",
"SettingSwitch","empty","SettingSwitch","constructor",
"RestartPanel","empty","RestartPanel","constructor",
"SearchBar","empty","SearchBar","constructor",
"TelegramHyperLink","empty","TelegramHyperLink","constructor",
"ButtonGroup","empty","ButtonGroup","constructor",
"UpdateNotInstalledException","empty","UpdateNotInstalledException","constructor",
"RadioButton","empty","RadioButton","constructor",
"PcHealthCheckButtonGroup","empty","PcHealthCheckButtonGroup","constructor",
"TagToVisibility","degenerate small-class","Convert","controller stateless",
"TagToVisibility","degenerate small-class","ConvertBack","wrapper stateless",
"OneDriveButtonGroup","empty","OneDriveButtonGroup","constructor",
"ChangesPanel","data-provider boundary","ChangesPanel","constructor",
"ChangesPanel","data-provider boundary","get","property wrapper",
"ChangesPanel","data-provider boundary","set","wrapper",
"ChangesPanel","data-provider boundary","get","property wrapper",
"ChangesPanel","data-provider boundary","set","wrapper",
"HamburgerMenu","empty","HamburgerMenu","constructor",
"HamburgerButton","data-provider boundary","HamburgerButton","constructor",
"HamburgerButton","data-provider boundary","get","property wrapper",
"HamburgerButton","data-provider boundary","set","wrapper",
"HamburgerButton","data-provider boundary","get","property wrapper",
"HamburgerButton","data-provider boundary","set","wrapper",
"HamburgerButton","data-provider boundary","get","property wrapper",
"HamburgerButton","data-provider boundary","set","wrapper",
"HamburgerButton","data-provider boundary","get","property wrapper",
"HamburgerButton","data-provider boundary","set","wrapper",
"CheckBox","empty","CheckBox","constructor",
"Heart","empty","Heart","constructor",
"ActualHeightMultiply","boundary degenerate small-class","Convert","collaborator incidental",
"ActualHeightMultiply","boundary degenerate small-class","ConvertBack","wrapper stateless",
"SheduledTaskNotFoundException","empty","SheduledTaskNotFoundException","constructor",
"Button","data-provider boundary","Button","constructor",
"Button","data-provider boundary","OnStoryboardCompleted","wrapper",
"Button","data-provider boundary","get","property wrapper",
"Button","data-provider boundary","set","wrapper",
"AdapterTypeInternalOrNullException","empty","AdapterTypeInternalOrNullException","constructor",
"WrongApplicationVersionException","empty","WrongApplicationVersionException","constructor",
"Theme","empty","Theme","constructor",
"Theme","empty","Theme","constructor",
"IntToVisibility","boundary degenerate small-class","Convert","wrapper stateless",
"IntToVisibility","boundary degenerate small-class","ConvertBack","wrapper stateless",
"BoolToVisibility","boundary degenerate small-class","ConvertBack","wrapper stateless",
"RelayCommand","data-provider boundary degenerate","RelayCommand","constructor",
"RelayCommand","data-provider boundary degenerate","RelayCommand","constructor",
"RelayCommand","data-provider boundary degenerate","CanExecute","predicate wrapper",
"RelayCommand","data-provider boundary degenerate","Execute","wrapper stateless",
"RelayCommand","data-provider boundary degenerate","RaiseCanExecuteChanged","wrapper stateless",
"MsCppPackageButtonGroup","empty","MsCppPackageButtonGroup","constructor",
"StartupConditionsHelper","empty","StartupConditionsHelper","constructor",
"Logo","empty","Logo","constructor",
"IconButton","data-provider boundary","IconButton","constructor",
"IconButton","data-provider boundary","OnStoryboardCompleted","wrapper",
"IconButton","data-provider boundary","get","property wrapper",
"IconButton","data-provider boundary","set","wrapper",
"Win10TweakerCondition","small-class","Invoke","get set",
"IconWinCheckBox","empty","IconWinCheckBox","constructor",
"CommandButton","data-provider boundary","CommandButton","constructor",
"CommandButton","data-provider boundary","OnStoryboardCompleted","wrapper stateless",
"CommandButton","data-provider boundary","get","property wrapper",
"CommandButton","data-provider boundary","set","wrapper",
"CommandButton","data-provider boundary","get","property wrapper",
"CommandButton","data-provider boundary","set","wrapper",
"CommandButton","data-provider boundary","get","property wrapper",
"CommandButton","data-provider boundary","set","wrapper",
"SimpleCheckBox","empty","SimpleCheckBox","constructor",
"NetworkAdapterNotEnergySavingException","empty","NetworkAdapterNotEnergySavingException","constructor",
"DefenderCorruptedCondition","data-provider boundary data-class small-class","Invoke","get wrapper",
"Localization","empty","Localization","constructor",
"Localization","empty","Localization","constructor",
"Customisation","empty","Customisation","constructor",
"Customisation","empty","Customisation","constructor",
"ResetButton","empty","ResetButton","constructor",
"ViewSettings","boundary degenerate small-class","ViewSettings","constructor",
"ViewSettings","boundary degenerate small-class","ViewSettings_IsVisibleChanged","wrapper stateless",
"CustomActionDto","empty","CustomActionDto","constructor",
"Resources","boundary data-class","Resources","constructor",
"Resources","boundary data-class","get","get set collaborator",
"Resources","boundary data-class","get","get collaborator",
"Resources","boundary data-class","set","set collaborator",
"Resources","boundary data-class","get","property wrapper",
"WddmMinimalVersionException","empty","WddmMinimalVersionException","constructor",
"GitHubHyperLink","empty","GitHubHyperLink","constructor",
"OneDriveNotInstalledException","empty","OneDriveNotInstalledException","constructor",
"ViewLoading","empty","ViewLoading","constructor",
"RadioGroup","empty","RadioGroup","constructor",
"Switch","empty","Switch","constructor",
"UwpAppNotFoundException","empty","UwpAppNotFoundException","constructor",
"IconFolderCheckBox","empty","IconFolderCheckBox","constructor",
"LoadingPanel","empty","LoadingPanel","constructor",
"LoadingRing","empty","LoadingRing","constructor",
"FilledButton","data-provider boundary","FilledButton","constructor",
"FilledButton","data-provider boundary","OnStoryboardCompleted","wrapper",
"FilledButton","data-provider boundary","get","property wrapper",
"FilledButton","data-provider boundary","set","wrapper",
"FilledButton","data-provider boundary","get","property wrapper",
"FilledButton","data-provider boundary","set","wrapper",
"FilledButton","data-provider boundary","get","property wrapper",
"FilledButton","data-provider boundary","set","wrapper",
"ApplicationBlockedByPolicyException","empty","ApplicationBlockedByPolicyException","constructor",
"ExpandingGroup","empty","ExpandingGroup","constructor",
"ActorLink","empty","ActorLink","constructor",
"WindowsCapabilityNotInstalledException","empty","WindowsCapabilityNotInstalledException","constructor",
"WindowsEditionNotSupportedException","empty","WindowsEditionNotSupportedException","constructor",
"PcJoinedToDomainException","empty","PcJoinedToDomainException","constructor",
"AppHelper","boundary degenerate small-class","get","collaborator incidental",
"AdvancedSwitch","empty","AdvancedSwitch","constructor",
"UwpButton","data-provider boundary","UwpButton","constructor",
"UwpButton","data-provider boundary","ToggleButton_Clicked","wrapper stateless",
"UwpButton","data-provider boundary","get","property wrapper",
"UwpButton","data-provider boundary","set","wrapper",
"UwpButton","data-provider boundary","get","predicate wrapper",
"UwpButton","data-provider boundary","set","wrapper",
