Unique Method Stereotype,Method Count
get property wrapper,12
get property factory wrapper,3
get property non-void-command factory collaborator,9
get property non-void-command collaborator,77
collaborator incidental,572
get,627
predicate wrapper,21
property non-void-command,383
property non-void-command factory collaborator,220
predicate set,5
collaborator stateless,47
collaborator,2
set factory collaborator,16
void-accessor command collaborator,239
factory wrapper stateless,56
get non-void-command collaborator,1509
property wrapper,41
predicate controller,21
property collaborator,30
stateless,161
property set collaborator,188
incidental,1906
void-accessor collaborator,3
copy-constructor,15
property controller,122
property non-void-command collaborator,3874
get set collaborator,511
wrapper stateless,1858
non-void-command factory collaborator,331
controller stateless,427
predicate,101
factory collaborator stateless,132
set,705
constructor,675
empty,39
get property controller,39
factory controller,10
property factory wrapper,13
command,248
void-accessor wrapper,2
predicate non-void-command,289
command collaborator,559
property,59
property factory collaborator,20
controller,16
factory collaborator,32
unclassified,11
factory wrapper,34
get property collaborator,9
get property non-void-command,4
void-accessor set collaborator,8
non-void-command collaborator,106
get non-void-command,24
set collaborator,280
non-void-command,5
predicate non-void-command collaborator,297
wrapper,23
non-void-command factory,4
get set,22
get factory collaborator,1
predicate set collaborator,10
get collaborator,400
get controller,54
factory controller stateless,81
void-accessor command,28
property set,6
property factory controller,13
void-accessor controller,9
get set factory collaborator,21
get wrapper,2081
get property,5
property set factory collaborator,24
Total,19785
