Unique Method Stereotype,Method Count
property factory collaborator,1
void-accessor controller,1
void-accessor command collaborator,3
controller stateless,5
command collaborator,5
property wrapper,2
get non-void-command collaborator,1
property controller,3
set collaborator,4
property non-void-command collaborator,16
predicate non-void-command,2
non-void-command factory collaborator,1
wrapper stateless,17
wrapper,3
property set collaborator,5
constructor,13
set,4
command,17
empty,6
non-void-command collaborator,17
collaborator incidental,1
get property non-void-command collaborator,1
property,1
property factory controller,1
property non-void-command,9
property non-void-command factory collaborator,2
property set,1
get property factory controller,2
property factory wrapper,1
get property factory wrapper,1
incidental,2
copy-constructor,3
controller,2
predicate non-void-command collaborator,1
predicate,1
Total,155
