Class Name,Class Stereotype,Method Name,Method Stereotype
"ShapeTests","boundary degenerate small-class","Should_ShapeAutomaticallyConvertToTensor","wrapper stateless"
"SessionTests","pure-controller degenerate small-class","Should_ListDeviceReturnDevices","controller stateless"
"SessionTests","pure-controller degenerate small-class","ParseOutput_ThrowsForMissingOp","controller stateless"
"PaddingFIFOQueueTests","pure-controller degenerate small-class","Should_EnqueueAndDequeue_ScalarValues","controller stateless"
"MathTests","boundary degenerate","Should_CalculateTanhGrad_Correctly","wrapper stateless"
"MathTests","boundary degenerate","Should_ReduceMean","wrapper stateless"
"MathTests","boundary degenerate","Should_SigmoidCrossEntropyWithLogits","wrapper stateless"
"MathTests","boundary degenerate","Should_ReduceProd","wrapper stateless"
"MathTests","boundary degenerate","Should_ReduceProd2","wrapper stateless"
"GradientTests","boundary small-class","ShouldAddGradients","wrapper stateless"
"GradientTests","boundary small-class","ComputeGradientMSE","wrapper"
"ImageEditor","commander small-class","ImageEditor","constructor"
"ImageEditor","commander small-class","AddBox","command collaborator"
"ImageEditor","commander small-class","Dispose","command"
"AdaptiveOptimizer","empty","AdaptiveOptimizer","constructor"
"TFStatus","entity boundary degenerate","TFStatus","constructor"
"TFStatus","entity boundary degenerate","NativeDispose","wrapper stateless"
"TFStatus","entity boundary degenerate","SetStatusCode","wrapper stateless"
"TFStatus","entity boundary degenerate","ToString","wrapper stateless"
"TFStatus","entity boundary degenerate","Raise","wrapper stateless"
"TFStatus","entity boundary degenerate","CheckMaybeRaise","predicate non-void-command collaborator"
"TFStatus","entity boundary degenerate","get","wrapper stateless"
"TFDisposable","commander","TFDisposable","constructor"
"TFDisposable","commander","TFDisposable","constructor"
"TFDisposable","commander","TFDisposable","constructor"
"TFDisposable","commander","Dispose","command"
"TFDisposable","commander","~TFDisposable","destructor"
"TFDisposable","commander","Dispose","set"
"TFDisposable","commander","get","get"
"TFDisposable","commander","set","set"
"TensorTests","boundary degenerate","Should_MultidimensionalAndJaggedBeEqual","wrapper stateless"
"TensorTests","boundary degenerate","StringTestWithMultiDimStringTensorAsInputOutput","wrapper stateless"
"TensorTests","boundary degenerate","StringTestWithMultiDimStringTensorAsInputAndScalarStringAsOutput","wrapper stateless"
"TensorTests","boundary degenerate","DevicePlacementTest","controller stateless"
"TensorTests","boundary degenerate","ConstructBoolTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructByteTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructSignedByteTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructShortTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructUnsignedShortTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructIntTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructLongTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructComplexTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructFloatTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructDoubleTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructBoolArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructByteArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructSignedByteArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructShortArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructUnsignedShortArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructIntArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructMultiDimIntArrayTensor","controller stateless"
"TensorTests","boundary degenerate","ConstructJaggedIntArrayTensor","controller stateless"
"TensorTests","boundary degenerate","ConstructLongArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstrucComplexArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructFloatArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","ConstructDoubleArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetMultiDimArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetMultiDimArrayTensorWithJagged","wrapper stateless"
"TensorTests","boundary degenerate","SetJaggedArrayTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetBoolTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetByteTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetSignedByteTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetShortTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetUnsignedShortTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetIntTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetLongTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetComplexTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetFloatTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetDoubleTensor","wrapper stateless"
"TensorTests","boundary degenerate","SetTensorWithWrongType","wrapper stateless"
"TensorTests","boundary degenerate","SetArrayTensorWithSimple","wrapper stateless"
"TensorTests","boundary degenerate","SetArrayTensorWithWrongDimensions","wrapper stateless"
"TensorTests","boundary degenerate","SetArrayTensorWithWrongLength","wrapper stateless"
"TensorTests","boundary degenerate","SetJaggedArrayTensorWithWrongDimensions","wrapper stateless"
