Unique Class Stereotype,Class Count
data-provider boundary data-class small-class,2
data-provider boundary small-class,1
data-provider,1
data-provider boundary,1
boundary data-class,1
entity data-provider boundary,2
factory degenerate small-class,9
commander boundary degenerate,3
commander boundary data-class,1
boundary degenerate,11
commander boundary,8
entity boundary,1
data-class small-class,3
commander small-class,46
commander data-class,4
commander lazy-class,2
data-provider data-class small-class,3
small-class,11
entity boundary small-class,3
controller small-class,1
unclassified,20
commander,24
empty,87
pure-controller degenerate small-class,62
data-class,3
factory controller small-class,1
boundary degenerate small-class,48
commander lazy-class degenerate,1
commander data-class small-class,9
boundary small-class,5
pure-controller degenerate,1
commander degenerate,2
commander boundary small-class,9
data-provider small-class,3
degenerate small-class,11
boundary lazy-class,1
boundary data-class small-class,1
degenerate,11
boundary,4
pure-controller small-class,4
data-provider boundary lazy-class degenerate,1
Total,422
