Class Name,Class Stereotype,Method Name,Method Stereotype
"SwanSpawner","entity small-class","Start","wrapper stateless"
"SwanSpawner","entity small-class","Spawn","property non-void-command factory collaborator"
"PlayerShoot","commander small-class","Awake","command"
"PlayerShoot","commander small-class","Update","command collaborator"
"EnemySpawner","boundary small-class","Start","wrapper"
"EnemySpawner","boundary small-class","Spawn","wrapper"
"GamePauser","commander data-class small-class","Update","set"
"Spawner","small-class","Start","wrapper"
"Spawner","small-class","Spawn","controller"
"PlayerController","commander","Start","command"
"PlayerController","commander","Update","command"
"PlayerController","commander","FixedUpdate","command collaborator"
"PlayerController","commander","Flip","set collaborator"
"Score","commander small-class","Awake","set"
"Score","commander small-class","Update","command"
"Remover","small-class","OnTriggerEnter2D","wrapper"
"Remover","small-class","ReloadGame","factory wrapper stateless"
"BackgroundParallax","commander data-class","Awake","set"
"BackgroundParallax","commander data-class","Start","set"
"BackgroundParallax","commander data-class","Update","set collaborator"
"PlayerHealth","commander","Awake","command"
"PlayerHealth","commander","OnCollisionEnter2D","command collaborator"
"PlayerHealth","commander","TakeDamage","command collaborator"
"PlayerHealth","commander","UpdateHealthBar","command"
"Gun","commander small-class","Awake","command"
"Gun","commander small-class","Update","command collaborator"
"Rocket","commander boundary","Start","wrapper stateless"
"Rocket","commander boundary","OnExplode","wrapper"
"Rocket","commander boundary","OnTriggerEnter2D","command collaborator"
"BackgroundPropSpawner","entity small-class","Start","wrapper stateless"
"BackgroundPropSpawner","entity small-class","Spawn","property non-void-command factory collaborator"
"LayBombs","commander small-class","Awake","set"
"LayBombs","commander small-class","Update","command"
"SetParticleSortingLayer","commander data-class small-class","Start","set"
"CameraFollow","unclassified","Awake","set"
"CameraFollow","unclassified","CheckXMargin","predicate wrapper"
"CameraFollow","unclassified","CheckYMargin","predicate wrapper"
"CameraFollow","unclassified","FixedUpdate","command"
"CameraFollow","unclassified","TrackPlayer","command"
"Destroyer","boundary","Awake","wrapper"
"Destroyer","boundary","DestroyChildGameObject","wrapper"
"Destroyer","boundary","DisableChildGameObject","wrapper"
"Destroyer","boundary","DestroyGameObject","wrapper stateless"
"BombPickup","commander data-class small-class","Awake","set"
"BombPickup","commander data-class small-class","OnTriggerEnter2D","set collaborator"
"PickupSpawner","unclassified","Awake","set"
"PickupSpawner","unclassified","Start","command"
"PickupSpawner","unclassified","DeliverPickup","property factory wrapper"
"FollowPlayer","commander small-class","Awake","set"
"FollowPlayer","commander small-class","Update","unclassified"
"PlayerControl","commander","Awake","command"
"PlayerControl","commander","Update","command"
"PlayerControl","commander","FixedUpdate","command"
"PlayerControl","commander","Flip","set collaborator"
"PlayerControl","commander","Taunt","property set factory collaborator"
"PlayerControl","commander","TauntRandom","property non-void-command"
"Enemy","commander boundary","Awake","command"
"Enemy","commander boundary","FixedUpdate","command collaborator"
"Enemy","commander boundary","Hurt","set"
"Enemy","commander boundary","Death","command collaborator"
"Enemy","commander boundary","Flip","collaborator incidental"
"HealthPickup","commander small-class","Awake","command"
"HealthPickup","commander small-class","OnTriggerEnter2D","command collaborator"
"ScoreShadow","commander small-class","Awake","collaborator"
"ScoreShadow","commander small-class","Update","command"
"Bomb","commander","Awake","command"
"Bomb","commander","Start","command"
"Bomb","commander","BombDetonation","property non-void-command factory collaborator"
"Bomb","commander","Explode","command collaborator"
"Pauser","commander data-class small-class","Update","set"
