Unique Class Stereotype,Class Count
commander boundary data-class small-class,1
data-provider data-class,1
commander boundary,4
commander data-class small-class,3
pure-controller degenerate small-class,3
data-provider,1
entity commander boundary,1
boundary degenerate small-class,7
commander,21
commander boundary small-class,6
boundary,3
commander small-class,11
pure-controller small-class,5
unclassified,7
empty,14
data-provider boundary,3
commander boundary data-class,1
boundary small-class,3
entity boundary,1
small-class,4
entity boundary small-class,1
commander boundary degenerate,2
Total,103
