Class Name,Class Stereotype,Method Name,Method Stereotype
"SimpleTiledModel","small-class","SimpleTiledModel","constructor",
"SimpleTiledModel","small-class","Save","wrapper",
"SimpleTiledModel","small-class","TextOutput","property controller",
"OverlappingModel","boundary small-class","OverlappingModel","constructor",
"OverlappingModel","boundary small-class","Save","wrapper",
"Model","unclassified","Model","constructor",
"Model","unclassified","Init","command",
"Model","unclassified","Run","predicate",
"Model","unclassified","NextUnobservedNode","property set collaborator",
"Model","unclassified","Observe","command collaborator",
"Model","unclassified","Propagate","get set",
"Model","unclassified","Ban","command",
"Model","unclassified","Clear","command",
