Unique Class Stereotype,Class Count
pure-controller degenerate,1
data-class,1
data-provider boundary data-class,1
data-provider degenerate,1
lazy-class degenerate,2
commander small-class,1
commander boundary small-class,3
commander degenerate,1
pure-controller,2
lazy-class data-class small-class,3
boundary data-class small-class,1
commander boundary,4
controller,11
boundary degenerate,22
entity boundary data-class small-class,1
pure-controller degenerate small-class,17
degenerate small-class,12
small-class,13
unclassified,17
controller small-class,4
entity boundary small-class,9
entity boundary lazy-class degenerate,1
data-provider boundary data-class small-class,58
data-provider boundary,3
entity boundary,6
boundary degenerate small-class,59
empty,1328
factory controller,1
controller lazy-class degenerate,2
commander boundary degenerate,3
factory degenerate small-class,3
data-provider small-class,6
factory small-class,1
data-provider boundary small-class,1
pure-controller small-class,4
boundary,18
degenerate,15
controller degenerate,2
boundary lazy-class degenerate,2
factory degenerate,2
boundary small-class,9
commander data-class small-class,2
minimal-entity boundary,1
Total,1654
