Class Name,Class Stereotype,Method Name,Method Stereotype
"SunCalcTests","entity commander boundary","ConvertTime","property wrapper",
"SunCalcTests","entity commander boundary","SunCalcTests","constructor",
"SunCalcTests","entity commander boundary","TestWesternHemisphere","command collaborator",
"SunCalcTests","entity commander boundary","TestEasternHemisphere","command collaborator",
"SunCalcTests","entity commander boundary","TestPolarDayWithTwilight","command collaborator",
"SunCalcTests","entity commander boundary","TestPolarDay","command collaborator",
"SunCalcTests","entity commander boundary","TestPolarNightWithTwilight","command collaborator",
"SunCalcTests","entity commander boundary","TestPolarNight","command collaborator",
"SunCalcTests","entity commander boundary","TestDaylightSavingTime","command collaborator",
"BitmapCache","unclassified","Clear","command collaborator",
"BitmapCache","unclassified","BitmapCache","constructor",
"BitmapCache","unclassified","CreateImage","factory controller",
"BitmapCache","unclassified","get","get property non-void-command collaborator",
"TrayMenu","entity boundary degenerate","TrayMenu","constructor",
"TrayMenu","entity boundary degenerate","GetMenuItems","property non-void-command factory collaborator",
"TrayMenu","entity boundary degenerate","GetOptionsMenuItems","property non-void-command collaborator",
"TrayMenu","entity boundary degenerate","OnScheduleItemClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnThemeItemClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnStartOnBootClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnThemeModeItemClick","wrapper",
"TrayMenu","entity boundary degenerate","OnUpdateItemClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnAboutItemClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnExitItemClick","collaborator incidental",
"TrayMenu","entity boundary degenerate","OnLanguageItemClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnRefreshItemClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnFullScreenItemClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnHideTrayItemClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnEditConfigFileClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnReloadConfigFileClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnEnableScriptsClick","wrapper stateless",
"TrayMenu","entity boundary degenerate","OnManageScriptsClick","wrapper stateless",
"NoThemeJSON","empty","NoThemeJSON","constructor",
"NoImagesMatchingPattern","empty","NoImagesMatchingPattern","constructor",
"MissingFieldsInThemeJSON","empty","MissingFieldsInThemeJSON","constructor",
"InvalidZIP","empty","InvalidZIP","constructor",
"InvalidThemeJSON","empty","InvalidThemeJSON","constructor",
"ThemePreviewerViewModel","boundary","set","wrapper",
"ThemePreviewerViewModel","boundary","set","wrapper",
"ThemePreviewerViewModel","boundary","set","wrapper",
"ThemePreviewerViewModel","boundary","set","wrapper",
"InvalidImageInThemeJSON","empty","InvalidImageInThemeJSON","constructor",
"NoImagesInFolder","empty","NoImagesInFolder","constructor",
"DownloadDialog","entity commander boundary","Dispose","command",
"DownloadDialog","entity commander boundary","InitializeComponent","command",
"DownloadDialog","entity commander boundary","DownloadDialog","constructor",
"DownloadDialog","entity commander boundary","InitDownload","void-accessor command collaborator",
"DownloadDialog","entity commander boundary","DownloadNext","command collaborator",
"DownloadDialog","entity commander boundary","UpdatePercentage","wrapper stateless",
"DownloadDialog","entity commander boundary","OnDownloadProgressChanged","void-accessor command collaborator",
"DownloadDialog","entity commander boundary","OnDownloadFileCompleted","command",
"DownloadDialog","entity commander boundary","themeUriList_SelectedIndexChanged","command collaborator",
"DownloadDialog","entity commander boundary","cancelButton_Click","command collaborator",
"DownloadDialog","entity commander boundary","OnFormClosing","command collaborator",
"DarkUI","degenerate small-class","get","incidental",
"DarkUI","degenerate small-class","get","incidental",
"ImportDialog","commander","Dispose","command",
"ImportDialog","commander","InitializeComponent","command",
"ImportDialog","commander","ImportDialog","constructor",
"ImportDialog","commander","InitImport","command",
"ImportDialog","commander","ImportNext","command collaborator",
"ImportDialog","commander","UpdateTotalPercentage","wrapper",
"ImportDialog","commander","OnFormClosing","collaborator",
"FailedToCopyImage","empty","FailedToCopyImage","constructor",
"UwpHelper","lazy-class degenerate","GetLocalFolder","incidental",
"UwpHelper","lazy-class degenerate","CheckStartOnBoot","set collaborator",
"UwpHelper","lazy-class degenerate","ToggleStartOnBoot","set collaborator",
"UwpHelper","lazy-class degenerate","OpenUpdateLink","wrapper stateless",
"UwpHelper","lazy-class degenerate","SetWallpaper","controller stateless",
"UwpHelper","lazy-class degenerate","SetLockScreen","controller stateless",
"DesktopHelper","commander lazy-class degenerate","GetLocalFolder","incidental",
"DesktopHelper","commander lazy-class degenerate","CheckStartOnBoot","set",
"DesktopHelper","commander lazy-class degenerate","ToggleStartOnBoot","set",
"DesktopHelper","commander lazy-class degenerate","OpenUpdateLink","incidental",
"DesktopHelper","commander lazy-class degenerate","SetWallpaper","wrapper stateless",
"DesktopHelper","commander lazy-class degenerate","SetLockScreen","wrapper stateless",
"IpcManager","commander boundary","IpcManager","constructor",
"IpcManager","commander boundary","Dispose","command",
"IpcManager","commander boundary","ListenForArgs","command collaborator",
"IpcManager","commander boundary","SendArgsToFirstInstance","wrapper stateless",
"HiddenForm","entity boundary degenerate","HiddenForm","constructor",
"HiddenForm","entity boundary degenerate","WndProc","void-accessor command collaborator",
"HiddenForm","entity boundary degenerate","HiddenForm_Load","wrapper stateless",
"HiddenForm","entity boundary degenerate","get","collaborator incidental",
"AboutDialog","commander","Dispose","command",
"AboutDialog","commander","InitializeComponent","command",
"AboutDialog","commander","AboutDialog","constructor",
"AboutDialog","commander","AboutDialog_Load","command collaborator",
"AboutDialog","commander","GetRtfLink","incidental",
"AboutDialog","commander","GetRtfText","property non-void-command",
"AboutDialog","commander","GetRtfUnicodeEscapedString","controller stateless",
"AboutDialog","commander","richTextBox1_LinkClicked","collaborator incidental",
"AboutDialog","commander","closeButton_Click","command collaborator",
"ThemeResult","data-provider boundary small-class","ThemeResult","constructor",
"ThemeResult","data-provider boundary small-class","ThemeResult","constructor",
"ThemeResult","data-provider boundary small-class","Match<T>","property wrapper",
"ThemeResult","data-provider boundary small-class","Match","wrapper",
"EventScheduler","commander boundary","EventScheduler","constructor",
"EventScheduler","commander boundary","Run","predicate non-void-command collaborator",
"EventScheduler","commander boundary","RunAndUpdateLocation","wrapper stateless",
"EventScheduler","commander boundary","UpdateDisplayList","predicate non-void-command",
"EventScheduler","commander boundary","HandleDisplayEvent","controller stateless",
"EventScheduler","commander boundary","StartTimer","set collaborator",
"EventScheduler","commander boundary","HandleTimerEvent","set",
"EventScheduler","commander boundary","OnBackgroundTimerElapsed","command collaborator",
"EventScheduler","commander boundary","OnSchedulerTimerElapsed","command collaborator",
"EventScheduler","commander boundary","OnDisplaySettingsChanged","command collaborator",
"EventScheduler","commander boundary","OnPowerModeChanged","command collaborator",
"EventScheduler","commander boundary","OnSessionSwitch","command collaborator",
"EventScheduler","commander boundary","OnTimeChanged","command collaborator",
"FailedToCreateThumbnail","empty","FailedToCreateThumbnail","constructor",
"LanguageDialog","commander boundary","Dispose","command",
"LanguageDialog","commander boundary","InitializeComponent","command",
"LanguageDialog","commander boundary","LanguageDialog","constructor",
"LanguageDialog","commander boundary","LanguageDialog_Load","command collaborator",
"LanguageDialog","commander boundary","linkLabel1_LinkClicked","collaborator incidental",
"LanguageDialog","commander boundary","okButton_Click","command collaborator",
"LanguageDialog","commander boundary","cancelButton_Click","command collaborator",
"ScheduleDialog","commander boundary","Dispose","command",
"ScheduleDialog","commander boundary","InitializeComponent","command",
"ScheduleDialog","commander boundary","ScheduleDialog","constructor",
"ScheduleDialog","commander boundary","HandleScheduleChange","command",
"ScheduleDialog","commander boundary","UpdateGuiState","command",
"ScheduleDialog","commander boundary","UpdateLocationState","command",
"ScheduleDialog","commander boundary","InputDialog_Load","command collaborator",
"ScheduleDialog","commander boundary","OnInputValueChanged","command collaborator",
"ScheduleDialog","commander boundary","grantPermissionButton_Click","command collaborator",
"ScheduleDialog","commander boundary","checkPermissionButton_Click","set collaborator",
"ScheduleDialog","commander boundary","okButton_Click","command collaborator",
"ScheduleDialog","commander boundary","cancelButton_Click","command collaborator",
"ScheduleDialog","commander boundary","OnFormClosing","wrapper stateless",
"ThemePreviewer","commander small-class","ThemePreviewer","constructor",
"ThemePreviewer","commander small-class","StartAnimation","command",
"ThemePreviewer","commander small-class","StopAnimation","command",
"FullScreenApi","commander","FullScreenApi","constructor",
"FullScreenApi","commander","ToggleFullScreenPause","command",
"FullScreenApi","commander","SetFullScreenPause","command",
"FullScreenApi","commander","IsRunningFullScreen","controller stateless",
"FullScreenApi","commander","WinEventProc","command",
"AppContext","commander","AppContext","constructor",
"AppContext","commander","HandleMultiInstance","void-accessor command",
"AppContext","commander","InitializeTrayIcon","command",
"AppContext","commander","OnArgumentsReceived","command",
"AppContext","commander","OnNotifyIconMouseUp","controller",
"AppContext","commander","OnApplicationExit","set collaborator",
"NoImagesInZIP","empty","NoImagesInZIP","constructor",
"CompareByItemText","pure-controller degenerate small-class","Compare","controller stateless",
"FailedToDownloadImages","empty","FailedToDownloadImages","constructor",
"NoThemeJSONInZIP","empty","NoThemeJSONInZIP","constructor",
"ThemePreviewItem","empty","ThemePreviewItem","constructor",
"Resources","data-provider boundary","Resources","constructor",
"Resources","data-provider boundary","get","get set collaborator",
"Resources","data-provider boundary","get","get collaborator",
"Resources","data-provider boundary","set","set collaborator",
"Resources","data-provider boundary","get","property wrapper",
"Resources","data-provider boundary","get","property wrapper",
"Resources","data-provider boundary","get","property wrapper",
"ThemeLoadOpts","empty","ThemeLoadOpts","constructor",
"RelayCommand","boundary small-class","Execute","wrapper",
"DaySegmentData","empty","DaySegmentData","constructor",
"ThemeDialog","commander boundary","Dispose","command",
"ThemeDialog","commander boundary","InitializeComponent","command",
"ThemeDialog","commander boundary","ThemeDialog","constructor",
"ThemeDialog","commander boundary","ImportThemes","controller",
"ThemeDialog","commander boundary","ApplySelectedTheme","controller",
"ThemeDialog","commander boundary","DownloadTheme","controller",
"ThemeDialog","commander boundary","UpdateSelectedItem","command",
"ThemeDialog","commander boundary","ThemeDialog_Load","command collaborator",
"ThemeDialog","commander boundary","displayComboBox_SelectedIndexChanged","command collaborator",
"ThemeDialog","commander boundary","listView1_SelectedIndexChanged","command collaborator",
"ThemeDialog","commander boundary","downloadButton_Click","command collaborator",
"ThemeDialog","commander boundary","importButton_Click","command collaborator",
"ThemeDialog","commander boundary","themeLinkLabel_LinkClicked","collaborator incidental",
"ThemeDialog","commander boundary","applyButton_Click","command collaborator",
"ThemeDialog","commander boundary","closeButton_Click","command collaborator",
"ThemeDialog","commander boundary","contextMenuStrip1_Opening","wrapper stateless",
"ThemeDialog","commander boundary","favoriteThemeMenuItem_Click","controller stateless",
"ThemeDialog","commander boundary","deleteThemeMenuItem_Click","command collaborator",
"ThemeDialog","commander boundary","showInstalledMenuItem_Click","wrapper",
"ThemeDialog","commander boundary","OnDownloadDialogClosed","command collaborator",
"ThemeDialog","commander boundary","OnImportDialogClosing","void-accessor wrapper",
"ThemeDialog","commander boundary","OnFormClosing","wrapper stateless",
"ThemeDialog","commander boundary","OnFormClosed","command collaborator",
"ThemeDialog","commander boundary","get","predicate wrapper",
"CustomToolStripRenderer","degenerate small-class","CustomToolStripRenderer","constructor",
"CustomToolStripRenderer","degenerate small-class","OnRenderToolStripBorder","empty",
"ThemeError","empty","ThemeError","constructor",
"FailedToFindLocation","empty","FailedToFindLocation","constructor",
