Unique Method Stereotype,Method Count
get property set collaborator,1
get property set,1
get property non-void-command factory collaborator,2
predicate controller,3
property set factory,2
get non-void-command factory collaborator,4
get property set factory collaborator,2
destructor,4
get wrapper,19
predicate set,5
get set,9
void-accessor set collaborator,20
get property non-void-command,4
get property collaborator,5
property non-void-command factory collaborator,48
property non-void-command,111
incidental,235
factory collaborator,3
controller,83
property wrapper,444
get non-void-command collaborator,45
predicate non-void-command collaborator,61
wrapper,532
copy-constructor,10
void-accessor collaborator,11
void-accessor command collaborator,203
get property non-void-command collaborator,17
collaborator incidental,188
get factory,1
get,118
property non-void-command collaborator,340
property controller,46
predicate wrapper,50
unclassified,5
empty,43
factory controller,13
property,23
command collaborator,701
set,134
constructor,619
factory collaborator incidental,2
wrapper stateless,927
predicate non-void-command,77
void-accessor wrapper,21
non-void-command factory collaborator,42
controller stateless,369
void-accessor command,16
factory controller stateless,16
get controller,3
get collaborator,97
collaborator stateless,36
predicate,50
factory wrapper stateless,9
get predicate,4
property set factory collaborator,6
get property wrapper,2
non-void-command collaborator,163
get non-void-command,5
set factory collaborator,6
collaborator,14
get set collaborator,19
property factory collaborator,29
command,343
property factory wrapper,24
property collaborator,51
stateless,15
property set collaborator,14
predicate collaborator,11
predicate set collaborator,2
factory collaborator stateless,6
get property factory collaborator,3
get property,10
factory wrapper,3
get set factory collaborator,5
void-accessor controller,16
property factory controller,1
get predicate non-void-command collaborator,2
set collaborator,208
non-void-command,25
Total,6817
