Class Name,Class Stereotype,Method Name,Method Stereotype
"AuthSetupView","commander boundary data-class","LogOutButton_OnClick","set collaborator",
"AuthSetupView","commander boundary data-class","WebBrowser_OnWebViewCreated","set collaborator",
"AuthSetupView","commander boundary data-class","WebBrowser_OnNavigationStarting","set collaborator",
"DashboardView","boundary degenerate small-class","DashboardView","constructor",
"DashboardView","boundary degenerate small-class","QueryTextBox_OnKeyDown","wrapper stateless",
"DashboardView","boundary degenerate small-class","StatusTextBlock_OnPointerReleased","collaborator incidental",
"DownloadViewModel","commander boundary","DownloadViewModel","constructor",
"DownloadViewModel","commander boundary","Cancel","command",
"DownloadViewModel","commander boundary","ShowFileAsync","non-void-command collaborator",
"DownloadViewModel","commander boundary","OpenFileAsync","non-void-command collaborator",
"DownloadViewModel","commander boundary","CopyErrorMessageAsync","wrapper stateless",
"ResizableSemaphore","data-class","Refresh","set",
"ResizableSemaphore","data-class","get","get",
"ResizableSemaphore","data-class","set","set",
"DialogManager","degenerate","ShowDialogAsync<T>","property non-void-command collaborator",
"DialogManager","degenerate","PromptSaveFilePathAsync","wrapper stateless",
"DialogManager","degenerate","PromptDirectoryPathAsync","controller stateless",
"DisposableCollector","commander small-class","Add","command collaborator",
"DisposableCollector","commander small-class","Dispose","command",
"MediaTagInjector","pure-controller degenerate small-class","InjectMiscMetadata","controller stateless",
"VideoQualityPreferenceToStringConverter","boundary degenerate small-class","Convert","wrapper stateless",
"ViewManager","boundary degenerate small-class","TryBindView","wrapper stateless",
"DashboardViewModel","commander boundary","DashboardViewModel","constructor",
"DashboardViewModel","commander boundary","EnqueueDownload","void-accessor command collaborator",
"DashboardViewModel","commander boundary","ProcessQueryAsync","non-void-command collaborator",
"DashboardViewModel","commander boundary","RemoveDownload","command collaborator",
"DashboardViewModel","commander boundary","RemoveSuccessfulDownloads","command collaborator",
"DashboardViewModel","commander boundary","RemoveInactiveDownloads","command collaborator",
"DashboardViewModel","commander boundary","RestartDownload","command collaborator",
"DashboardViewModel","commander boundary","RestartFailedDownloads","command collaborator",
"DashboardViewModel","commander boundary","CancelAllDownloads","controller",
"DashboardViewModel","commander boundary","Dispose","command",
"DialogViewModelBase<T>","commander boundary small-class","Close","command collaborator",
"AuthSetupViewModel","commander small-class","AuthSetupViewModel","constructor",
"AuthSetupViewModel","commander small-class","Dispose","command",
"ViewModelBase","commander small-class","Dispose","empty",
"ViewModelBase","commander small-class","Dispose","command",
"SettingsViewModel","commander small-class","SettingsViewModel","constructor",
"SettingsViewModel","commander small-class","Dispose","command",
"App","commander","App","constructor",
"App","commander","Initialize","command",
"App","commander","RegisterServices","command",
"App","commander","InitializeTheme","command",
