Class Name,Class Stereotype,Method Name,Method Stereotype
"Weekday","boundary degenerate","DisplayIntro","wrapper stateless",
"Weekday","boundary degenerate","ValidateDate","controller stateless",
"Weekday","boundary degenerate","PromptForADate","property non-void-command collaborator",
"Weekday","boundary degenerate","CalculateDateDiff","controller stateless",
"Weekday","boundary degenerate","WriteColumnOutput","incidental",
"Weekday","boundary degenerate","DisplayOutput","command collaborator",
"Weekday","boundary degenerate","PlayTheGame","command collaborator",
"CardTest","boundary","LessThanIsValid","wrapper",
"CardTest","boundary","GreaterThanIsValid","wrapper",
"CardTest","boundary","LessThanEqualsIsValid","wrapper",
"CardTest","boundary","GreaterThanEqualsIsValid","wrapper",
"CardTest","boundary","ToStringIsValid","wrapper stateless",
"TwentyThreeMatches","entity boundary","startGame","command collaborator",
"TwentyThreeMatches","entity boundary","flipCoin","property non-void-command collaborator",
"TwentyThreeMatches","entity boundary","turnOfPlayer","property non-void-command",
"Trap","boundary","Trap","constructor",
"Trap","boundary","play","command",
"Trap","boundary","showGuessResult","property",
"Trap","boundary","instructions","wrapper",
"Trap","boundary","intro","wrapper stateless",
"Trap","boundary","getDelimitedValue","controller stateless",
"Trap","boundary","yesEntered","wrapper stateless",
"Trap","boundary","stringIsAnyValue","wrapper stateless",
"Trap","boundary","displayTextAndGetInput","property non-void-command",
"Trap","boundary","randomNumber","property wrapper",
"Train","boundary degenerate","Train","constructor",
"Train","boundary degenerate","process","command",
"Train","boundary degenerate","intro","wrapper stateless",
"Train","boundary degenerate","displayTextAndGetInput","property non-void-command",
"Train","boundary degenerate","yesEntered","wrapper stateless",
"Train","boundary degenerate","stringIsAnyValue","wrapper stateless",
"Needle","small-class","TryPut","predicate non-void-command",
"Point","empty","Point","constructor",
"Offset","empty","Offset","constructor",
"WarpEngines","entity boundary","WarpEngines","constructor",
"WarpEngines","entity boundary","ExecuteCommandCore","property non-void-command collaborator",
"WarpEngines","entity boundary","TryGetWarpFactor","predicate non-void-command collaborator",
"WarpEngines","entity boundary","TryGetDistanceToMove","predicate wrapper",
"ShortRangeSensors","entity boundary small-class","ShortRangeSensors","constructor",
"ShortRangeSensors","entity boundary small-class","ExecuteCommandCore","property non-void-command collaborator",
"ShortRangeSensors","entity boundary small-class","GetStatusLines","collaborator incidental",
"ShieldControl","small-class","ShieldControl","constructor",
"ShieldControl","small-class","ExecuteCommandCore","property non-void-command collaborator",
"ShieldControl","small-class","Validate","predicate",
"PhaserControl","entity boundary","PhaserControl","constructor",
"PhaserControl","entity boundary","ExecuteCommandCore","property non-void-command collaborator",
"PhaserControl","entity boundary","GetPhaserStrength","property non-void-command collaborator",
"PhaserControl","entity boundary","GetPerTargetPhaserStrength","property non-void-command",
"PhaserControl","entity boundary","ResolveHitOn","void-accessor command collaborator",
"LibraryComputer","small-class","LibraryComputer","constructor",
"LibraryComputer","small-class","ExecuteCommandCore","property non-void-command collaborator",
"LibraryComputer","small-class","GetFunctionIndex","property non-void-command",
"TorpedoDataCalculator","entity boundary small-class","TorpedoDataCalculator","constructor",
"TorpedoDataCalculator","entity boundary small-class","Execute","void-accessor command collaborator",
"StatusReport","commander boundary small-class","StatusReport","constructor",
"StatusReport","commander boundary small-class","Execute","command collaborator",
"DirectionDistanceCalculator","commander boundary small-class","DirectionDistanceCalculator","constructor",
"DirectionDistanceCalculator","commander boundary small-class","Execute","command collaborator",
"CumulativeGalacticRecord","boundary degenerate small-class","CumulativeGalacticRecord","constructor",
"CumulativeGalacticRecord","boundary degenerate small-class","WriteHeader","collaborator incidental",
"ComputerFunction","empty","ComputerFunction","constructor",
"QuadrantInfo","empty","QuadrantInfo","constructor",
"Course","data-provider boundary small-class","Course","constructor",
"Course","data-provider boundary small-class","GetSectorsFrom","property collaborator",
"SynonymList","unclassified","SynonymList","constructor",
"SynonymList","unclassified","exists","property non-void-command collaborator",
"SynonymList","unclassified","getWord","get",
"SynonymList","unclassified","size","property non-void-command",
"SynonymList","unclassified","getSynonyms","property non-void-command",
"Enterprise","boundary","Enterprise","constructor",
"Enterprise","boundary","Add","get set collaborator",
"Enterprise","boundary","StartIn","set collaborator",
"Enterprise","boundary","Execute","get property wrapper",
"Enterprise","boundary","UseEnergy","set",
"Enterprise","boundary","TakeHit","property non-void-command collaborator",
"Enterprise","boundary","TakeDamage","command collaborator",
"Enterprise","boundary","RepairSystems","command collaborator",
"Enterprise","boundary","Enterprise","constructor",
"Enterprise","boundary","getShields","get",
"Enterprise","boundary","sufferHitPoints","set",
"Enterprise","boundary","getEnergy","get",
"Enterprise","boundary","replenishSupplies","command",
"Enterprise","boundary","decreaseEnergy","set collaborator",
"Enterprise","boundary","decreaseTorpedoes","set collaborator",
"Enterprise","boundary","dropShields","set",
"Enterprise","boundary","getTotalEnergy","property",
"Enterprise","boundary","getInitialEnergy","get",
"Enterprise","boundary","getTorpedoes","get",
"Enterprise","boundary","getDeviceStatus","get",
"Enterprise","boundary","getCardinalDirections","get",
"Enterprise","boundary","setDeviceStatus","set collaborator",
"Enterprise","boundary","isDocked","get collaborator",
"Enterprise","boundary","setDocked","set collaborator",
"Enterprise","boundary","getQuadrant","property",
"Enterprise","boundary","setQuadrant","command collaborator",
"Enterprise","boundary","getSector","property",
"Enterprise","boundary","setSector","command collaborator",
"Enterprise","boundary","moveShip","property non-void-command collaborator",
"Enterprise","boundary","randomRepairCost","set",
"Enterprise","boundary","repairDamagedDevices","set collaborator",
"Enterprise","boundary","maneuverEnergySR","command collaborator",
"Enterprise","boundary","shieldControl","command",
"Enterprise","boundary","damageControl","set collaborator",
"PhotonTubes","small-class","PhotonTubes","constructor",
"PhotonTubes","small-class","HasTorpedoes","predicate",
"PhotonTubes","small-class","ExecuteCommandCore","property set collaborator",
"CommandResult","empty","CommandResult","constructor",
"CommandResult","empty","CommandResult","constructor",
"Splat","boundary","DisplayIntro","wrapper stateless",
"Splat","boundary","PromptYesNo","controller stateless",
"Splat","boundary","WriteRandomBadResult","controller stateless",
"Splat","boundary","WriteColumnOutput","incidental",
"Splat","boundary","WriteColumnOutput","incidental",
"Splat","boundary","WriteColumnOutput","incidental",
"Splat","boundary","WriteSuccessfulResults","command",
"Splat","boundary","PlayOneRound","command",
"Splat","boundary","PlayTheGame","command",
"Splat","boundary","run","command collaborator",
"Splat","boundary","showIntroduction","wrapper stateless",
"Splat","boundary","buildInitialConditions","property non-void-command collaborator",
"Splat","boundary","promptTerminalVelocity","property non-void-command",
"Splat","boundary","promptFloat","property non-void-command",
"Splat","boundary","promptGravitationalAcceleration","property non-void-command",
"Splat","boundary","executeJump","non-void-command factory collaborator",
"Splat","boundary","computeDistance","controller stateless",
"Splat","boundary","showJumpResults","command collaborator",
"Splat","boundary","showSplatMessage","command collaborator",
"Splat","boundary","computeTimeOfSplat","controller stateless",
"Splat","boundary","countWorseHistoricalJumps","property non-void-command collaborator",
"Splat","boundary","showCleverSplatMessage","command",
"Splat","boundary","playAgain","property non-void-command collaborator",
"Splat","boundary","mphToFeetPerSec","incidental",
"Splat","boundary","askYesNo","property non-void-command collaborator",
